OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=ABQ,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,124,36,18,1,179,0,0,0,0,0,0,1,9,5,15,0,0,1,2,3,6,0,6,200,203,
01-02-2017,126,48,29,1,204,0,0,0,0,0,0,0,45,0,45,0,0,4,0,4,34,0,34,283,287,
01-03-2017,137,73,30,5,245,0,0,0,0,0,0,14,27,6,47,0,2,5,4,11,10,2,12,304,315,
01-04-2017,129,63,40,36,268,0,0,0,0,0,0,18,56,63,137,0,3,13,9,25,20,42,62,467,492,
01-05-2017,145,68,36,9,258,0,0,0,0,0,0,12,18,51,81,0,0,0,2,2,2,20,22,361,363,
01-06-2017,124,56,27,14,221,0,0,0,0,0,0,13,29,3,45,0,3,4,2,9,24,0,24,290,299,
01-07-2017,93,43,15,14,165,0,0,0,1,1,0,12,53,11,76,0,1,11,3,15,14,16,30,271,287,
01-08-2017,123,23,16,2,164,0,0,0,0,0,0,2,46,1,49,0,0,8,1,9,20,0,20,233,242,
01-09-2017,133,44,22,3,202,0,0,0,0,0,0,8,41,22,71,0,0,4,2,6,18,18,36,309,315,
01-10-2017,127,58,28,19,232,0,0,0,0,0,0,12,48,58,118,0,4,11,8,23,32,46,78,428,451,
01-11-2017,129,53,42,7,231,0,0,0,0,0,0,15,56,53,124,0,3,10,10,23,28,36,64,419,442,
01-12-2017,147,59,41,22,269,0,0,0,0,0,0,14,55,55,124,0,7,14,19,40,16,28,44,437,477,
01/13/2017,135,64,50,12,261,0,0,0,0,0,0,10,42,15,67,0,0,14,3,17,6,10,16,344,361,
01/14/2017,89,38,18,3,148,0,0,0,0,0,0,1,28,4,33,0,2,9,3,14,48,2,50,231,245,
01/15/2017,120,24,11,0,155,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,157,158,
01/16/2017,124,64,20,5,213,0,0,0,0,0,0,6,11,2,19,0,0,2,3,5,48,2,50,282,287,
01/17/2017,130,82,32,12,256,0,0,0,0,0,0,8,43,69,120,0,3,12,15,30,22,34,56,432,462,
01/18/2017,132,69,41,9,251,0,0,0,0,0,0,20,27,60,107,0,6,6,15,27,16,28,44,402,429,
01/19/2017,143,53,32,16,244,0,1,0,0,1,0,17,55,62,134,0,0,10,3,13,42,44,86,464,478,
01/20/2017,129,59,29,15,232,1,0,0,0,1,0,4,13,23,40,0,0,1,7,8,0,2,2,274,283,
