OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=ACY,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,20,20,7,0,47,0,0,0,0,0,0,0,20,2,22,0,0,2,0,2,0,0,0,69,71,
01-02-2017,24,13,6,7,50,0,0,0,0,0,0,0,2,4,6,0,0,0,0,0,0,0,0,56,56,
01-03-2017,22,2,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,
01-04-2017,23,5,11,17,56,0,0,0,0,0,0,0,13,20,33,0,0,1,1,2,0,6,6,95,97,
01-05-2017,22,7,12,51,92,0,0,0,0,0,0,0,17,28,45,0,0,1,0,1,8,56,64,201,202,
01-06-2017,20,8,5,33,66,0,0,0,0,0,0,0,14,32,46,0,0,2,0,2,2,38,40,152,154,
01-07-2017,8,2,0,0,10,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,12,12,
01-08-2017,23,8,2,12,45,0,0,0,0,0,0,0,2,6,8,0,0,2,0,2,0,0,0,53,55,
01-09-2017,24,7,6,25,62,0,0,0,0,0,0,0,7,3,10,0,0,2,0,2,0,8,8,80,82,
01-10-2017,23,4,4,70,101,0,0,0,0,0,0,3,25,44,72,0,0,0,0,0,0,38,38,211,211,
01-11-2017,24,13,10,77,124,0,0,0,0,0,0,16,33,38,87,0,0,0,0,0,6,72,78,289,289,
01-12-2017,24,7,20,26,77,0,0,0,0,0,0,1,30,42,73,0,1,2,0,3,20,48,68,218,221,
01/13/2017,24,19,26,57,126,0,0,0,0,0,0,0,38,21,59,0,0,2,0,2,2,64,66,251,253,
01/14/2017,26,11,29,0,66,0,0,0,0,0,0,0,19,6,25,0,0,2,0,2,0,0,0,91,93,
01/15/2017,26,19,32,1,78,0,0,0,0,0,0,0,15,5,20,0,0,1,0,1,14,4,18,116,117,
01/16/2017,21,6,32,5,64,0,0,0,0,0,0,0,20,18,38,0,0,3,0,3,6,52,58,160,163,
01/17/2017,23,7,47,89,166,0,0,0,1,1,0,0,2,3,5,0,0,0,0,0,10,40,50,221,222,
01/18/2017,24,0,42,77,143,0,0,0,0,0,0,0,12,21,33,0,0,0,0,0,20,42,62,238,238,
01/19/2017,22,21,22,94,159,0,0,1,0,1,0,1,57,18,76,0,0,3,0,3,22,86,108,343,347,
01/20/2017,22,21,15,21,79,0,0,0,0,0,0,0,8,12,20,0,0,0,0,0,0,16,16,115,115,
