OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=AEX,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,0,16,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,
01-02-2017,1,15,9,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,42,42,
01-03-2017,4,17,15,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,42,78,78,
01-04-2017,6,17,6,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,9,30,62,62,
01-05-2017,11,21,13,5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6,56,56,
01-06-2017,9,6,2,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,
01-07-2017,13,14,7,8,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,62,102,144,144,
01-08-2017,17,14,5,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,36,74,111,111,
01-09-2017,19,27,4,3,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,59,71,124,124,
01-10-2017,10,19,14,29,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,76,88,160,160,
01-11-2017,4,15,9,8,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,46,53,89,89,
01-12-2017,6,24,14,13,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,21,56,113,113,
01/13/2017,6,22,11,22,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,54,71,132,132,
01/14/2017,3,14,4,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,36,65,89,89,
01/15/2017,1,17,10,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,62,92,92,
01/16/2017,4,19,5,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,16,53,53,
01/17/2017,3,18,9,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,
01/18/2017,11,16,14,7,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,48,
01/19/2017,15,20,8,3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,30,76,76,
01/20/2017,11,21,18,45,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,69,96,191,191,
