OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=ALB,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,53,45,6,0,104,0,0,0,0,0,0,5,19,0,24,0,1,0,0,1,2,0,2,130,131,
01-02-2017,66,40,26,0,132,0,0,0,0,0,0,12,25,0,37,0,1,1,0,2,23,2,25,194,196,
01-03-2017,69,47,6,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,123,123,
01-04-2017,65,61,16,0,142,1,0,0,0,1,0,0,6,7,13,0,0,0,0,0,4,0,4,159,160,
01-05-2017,72,60,23,4,159,0,0,0,0,0,0,4,28,4,36,0,2,1,0,3,15,8,23,218,221,
01-06-2017,71,47,15,0,133,0,0,0,0,0,0,10,24,6,40,0,0,2,0,2,23,0,23,196,198,
01-07-2017,60,31,8,7,106,0,0,0,0,0,0,6,25,4,35,0,1,2,0,3,20,0,20,161,164,
01-08-2017,58,53,12,3,126,0,0,0,0,0,0,1,6,4,11,0,1,1,0,2,8,0,8,145,147,
01-09-2017,64,55,23,2,144,0,0,0,0,0,0,5,16,4,25,0,0,0,0,0,16,0,16,185,185,
01-10-2017,71,64,21,2,158,0,0,0,0,0,0,4,11,1,16,0,0,0,0,0,4,0,4,178,178,
01-11-2017,69,50,26,21,166,0,0,0,0,0,0,16,20,10,46,0,0,2,0,2,24,22,46,258,260,
01-12-2017,69,59,12,2,142,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,145,145,
01/13/2017,66,63,10,7,146,0,0,0,0,0,0,12,16,0,28,0,0,1,0,1,7,4,11,185,186,
01/14/2017,57,34,13,0,104,0,0,0,0,0,0,16,37,0,53,0,0,1,0,1,6,0,6,163,164,
01/15/2017,53,37,12,8,110,0,0,0,1,1,0,11,44,0,55,0,0,1,1,2,18,0,18,183,186,
01/16/2017,66,40,17,0,123,0,0,0,0,0,0,16,33,0,49,0,0,1,0,1,18,0,18,190,191,
01/17/2017,66,60,7,2,135,0,0,0,0,0,0,6,6,1,13,0,0,0,0,0,8,4,12,160,160,
01/18/2017,67,69,13,1,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,150,
01/19/2017,69,59,12,18,158,0,0,1,0,1,0,0,12,12,24,0,2,0,1,3,0,0,0,182,186,
01/20/2017,69,64,23,11,167,0,0,0,0,0,0,1,18,9,28,0,0,0,0,0,28,18,46,241,241,
