OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=ALN,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,0,0,8,0,8,0,0,0,0,0,0,2,26,0,28,0,0,2,0,2,28,0,28,64,66,
01-02-2017,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,7,7,
01-03-2017,0,15,7,0,22,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,23,23,
01-04-2017,0,4,8,0,12,0,0,0,0,0,0,7,17,0,24,0,4,4,0,8,32,0,32,68,76,
01-05-2017,0,11,14,0,25,0,0,0,0,0,0,1,2,0,3,0,0,8,0,8,8,0,8,36,44,
01-06-2017,0,11,13,0,24,0,0,0,0,0,0,1,6,0,7,0,2,6,0,8,18,0,18,49,57,
01-07-2017,0,0,13,0,13,0,0,0,0,0,0,1,26,0,27,0,0,2,0,2,26,0,26,66,68,
01-08-2017,0,4,9,0,13,0,0,0,0,0,0,0,18,0,18,0,0,0,0,0,38,0,38,69,69,
01-09-2017,0,7,10,5,22,0,0,0,0,0,0,2,15,0,17,0,0,12,0,12,38,6,44,83,95,
01-10-2017,0,11,7,0,18,0,0,0,0,0,0,10,4,0,14,0,0,4,0,4,6,6,12,44,48,
01-11-2017,0,15,4,0,19,0,0,0,0,0,0,7,2,0,9,0,0,0,0,0,12,0,12,40,40,
01-12-2017,0,1,10,0,11,0,0,0,0,0,0,0,3,0,3,0,0,2,0,2,34,0,34,48,50,
01/13/2017,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,
01/14/2017,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,
01/15/2017,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,
01/16/2017,0,10,8,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,24,24,
01/17/2017,0,23,18,0,41,0,2,0,0,2,0,3,3,0,6,0,2,4,0,6,54,0,54,101,109,
01/18/2017,0,24,6,0,30,0,0,0,2,2,0,5,28,0,33,0,2,12,0,14,132,0,132,195,211,
01/19/2017,0,11,5,0,16,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,17,17,
01/20/2017,0,17,10,2,29,0,0,0,2,2,0,2,1,0,3,0,4,0,0,4,24,4,28,60,66,
