OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=AMA,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,19,16,18,0,53,0,0,0,0,0,0,0,11,0,11,0,0,1,0,1,0,0,0,64,65,
01-02-2017,21,19,18,0,58,0,0,0,0,0,0,0,14,0,14,0,0,1,0,1,24,0,24,96,97,
01-03-2017,18,16,13,5,52,0,0,1,0,1,0,0,1,0,1,0,0,1,2,3,34,0,34,87,91,
01-04-2017,18,20,28,59,125,0,0,0,0,0,0,0,14,6,20,0,0,7,0,7,52,68,120,265,272,
01-05-2017,18,19,48,19,104,0,0,0,0,0,0,0,5,1,6,0,0,3,1,4,52,10,62,172,176,
01-06-2017,18,20,18,6,62,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,4,4,66,69,
01-07-2017,17,11,10,2,40,0,0,0,0,0,0,1,18,2,21,0,0,6,0,6,24,0,24,85,91,
01-08-2017,21,11,17,5,54,1,0,1,0,2,0,1,18,2,21,0,0,4,1,5,52,6,58,133,140,
01-09-2017,20,15,37,36,108,0,0,0,1,1,0,0,6,2,8,0,0,5,0,5,0,42,42,158,164,
01-10-2017,19,16,25,51,111,0,0,0,0,0,0,0,20,4,24,0,1,5,0,6,22,94,116,251,257,
01-11-2017,22,17,24,101,164,0,0,1,0,1,0,0,8,0,8,0,0,4,1,5,0,34,34,206,212,
01-12-2017,21,16,36,41,114,0,0,1,0,1,0,0,19,3,22,0,1,5,0,6,92,44,136,272,279,
01/13/2017,20,15,19,0,54,0,1,1,0,2,0,0,1,7,8,0,0,1,0,1,0,64,64,126,129,
01/14/2017,15,2,5,0,22,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23,
01/15/2017,17,3,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,
01/16/2017,22,13,26,2,63,7,5,10,0,22,0,0,1,2,3,0,0,0,3,3,0,0,0,66,91,
01/17/2017,19,18,38,31,106,0,0,1,0,1,0,0,24,5,29,0,0,5,0,5,18,30,48,183,189,
01/18/2017,24,15,33,44,116,0,0,0,0,0,0,0,15,1,16,0,0,5,1,6,40,26,66,198,204,
01/19/2017,20,21,53,67,161,0,0,0,0,0,0,2,20,1,23,0,0,10,0,10,30,144,174,358,368,
01/20/2017,20,17,20,43,100,0,0,3,0,3,0,1,4,2,7,0,0,2,0,2,20,8,28,135,140,
