OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=ANE,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,0,2,16,0,18,0,0,2,0,2,0,4,51,0,55,0,2,4,0,6,78,0,78,151,159,
01-02-2017,0,0,7,0,7,0,0,1,0,1,0,0,2,0,2,0,0,0,0,0,6,0,6,15,16,
01-03-2017,0,2,9,0,11,0,0,0,0,0,0,3,3,0,6,0,1,2,0,3,20,10,30,47,50,
01-04-2017,0,3,13,0,16,0,3,3,0,6,0,0,15,0,15,0,2,1,3,6,4,0,4,35,47,
01-05-2017,0,3,31,0,34,0,0,2,0,2,0,2,15,0,17,0,4,3,2,9,40,0,40,91,102,
01-06-2017,0,6,18,0,24,0,1,6,0,7,0,2,36,0,38,0,4,7,0,11,70,0,70,132,150,
01-07-2017,0,0,9,0,9,0,2,0,0,2,0,2,51,0,53,0,13,4,0,17,84,0,84,146,165,
01-08-2017,0,0,7,0,7,0,0,3,0,3,0,4,17,0,21,0,0,1,2,3,14,0,14,42,48,
01-09-2017,0,4,24,0,28,0,5,9,0,14,0,1,16,0,17,0,1,0,0,1,30,0,30,75,90,
01-10-2017,0,5,17,0,22,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,22,26,
01-11-2017,0,8,26,0,34,0,3,5,0,8,0,2,18,0,20,0,2,0,3,5,20,0,20,74,87,
01-12-2017,0,5,28,0,33,0,2,4,0,6,0,5,24,0,29,0,0,1,2,3,32,0,32,94,103,
01/13/2017,0,3,11,0,14,0,0,6,0,6,0,5,22,0,27,0,0,10,0,10,54,0,54,95,111,
01/14/2017,0,4,19,0,23,0,1,8,0,9,0,8,77,0,85,0,2,11,0,13,152,0,152,260,282,
01/15/2017,0,4,19,0,23,0,0,9,0,9,0,2,99,0,101,0,2,10,0,12,256,0,256,380,401,
01/16/2017,0,8,22,0,30,0,1,7,0,8,0,0,21,0,21,0,1,7,0,8,44,0,44,95,111,
01/17/2017,0,10,34,0,44,0,0,3,0,3,0,3,4,0,7,0,0,1,0,1,34,14,48,99,103,
01/18/2017,0,7,25,0,32,0,1,9,1,11,0,0,73,0,73,0,1,5,1,7,136,0,136,241,259,
01/19/2017,0,2,26,0,28,0,0,19,0,19,0,0,58,2,60,0,0,4,0,4,90,0,90,178,201,
01/20/2017,0,7,4,0,11,0,2,6,1,9,0,0,0,4,4,0,0,0,0,0,0,14,14,29,38,
