OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=APA,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,0,48,88,0,136,0,0,0,0,0,0,0,164,1,165,0,0,4,0,4,210,0,210,511,515,
01-02-2017,0,91,195,0,286,0,1,0,0,1,0,9,132,0,141,0,4,0,0,4,254,0,254,681,686,
01-03-2017,0,72,102,0,174,0,0,0,0,0,0,3,84,0,87,0,2,3,1,6,58,0,58,319,325,
01-04-2017,0,59,77,3,139,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,142,142,
01-05-2017,0,68,72,4,144,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,149,149,
01-06-2017,0,72,97,8,177,0,0,0,0,0,0,4,156,2,162,0,0,2,0,2,162,0,162,501,503,
01-07-2017,0,42,91,7,140,0,0,0,0,0,0,3,233,1,237,0,3,0,0,3,315,0,315,692,695,
01-08-2017,0,49,86,3,138,0,0,0,0,0,0,2,326,0,328,0,6,12,0,18,442,0,442,908,926,
01-09-2017,0,46,92,6,144,1,1,0,0,2,0,2,11,0,13,0,0,2,0,2,2,0,2,159,163,
01-10-2017,2,60,106,3,171,0,0,0,0,0,0,3,81,1,85,0,0,1,0,1,80,0,80,336,337,
01-11-2017,0,48,114,5,167,0,0,0,2,2,0,6,64,4,74,0,4,1,0,5,149,4,153,394,401,
01-12-2017,0,68,176,1,245,0,0,1,0,1,0,2,207,5,214,0,0,3,1,4,324,0,324,783,788,
01/13/2017,0,77,121,1,199,0,0,0,0,0,0,3,206,1,210,0,0,5,0,5,361,0,361,770,775,
01/14/2017,0,50,71,0,121,0,0,0,0,0,0,0,293,0,293,0,0,11,0,11,464,0,464,878,889,
01/15/2017,0,37,57,2,96,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,70,0,70,174,174,
01/16/2017,0,74,110,0,184,0,0,0,0,0,0,2,3,0,5,0,0,0,0,0,0,0,0,189,189,
01/17/2017,0,65,103,6,174,0,0,0,0,0,0,13,197,5,215,0,3,8,0,11,435,4,439,828,839,
01/18/2017,0,71,124,11,206,0,0,0,0,0,0,1,382,14,397,0,1,3,0,4,623,10,633,"1,236","1,240",
01/19/2017,0,90,129,11,230,0,0,0,0,0,0,6,322,6,334,0,1,4,0,5,479,6,485,"1,049","1,054",
01/20/2017,0,75,114,2,191,0,2,0,0,2,0,3,119,1,123,0,1,2,1,4,296,0,296,610,616,
