OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=APC,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,0,3,6,0,9,0,0,0,0,0,0,0,33,2,35,0,0,5,0,5,14,0,14,58,63,
01-02-2017,0,9,14,0,23,1,0,0,0,1,0,1,26,0,27,0,0,0,2,2,10,0,10,60,63,
01-03-2017,0,15,10,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,
01-04-2017,0,1,14,0,15,0,0,0,0,0,0,0,24,0,24,0,0,0,0,0,30,0,30,69,69,
01-05-2017,0,2,9,2,13,0,0,0,0,0,0,0,40,0,40,0,0,3,1,4,16,0,16,69,73,
01-06-2017,0,9,7,0,16,0,0,0,0,0,0,0,58,0,58,0,0,2,0,2,54,0,54,128,130,
01-07-2017,0,8,6,0,14,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,17,17,
01-08-2017,0,8,12,0,20,0,0,0,0,0,0,0,5,0,5,0,0,6,0,6,0,0,0,25,31,
01-09-2017,0,2,9,0,11,0,0,0,0,0,0,0,23,0,23,0,0,4,0,4,32,0,32,66,70,
01-10-2017,0,3,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,
01-11-2017,0,13,15,0,28,0,0,0,0,0,0,4,18,2,24,0,0,9,0,9,48,0,48,100,109,
01-12-2017,2,12,13,0,27,0,0,0,0,0,0,7,12,0,19,0,0,3,0,3,44,0,44,90,93,
01/13/2017,0,9,17,0,26,0,0,0,0,0,0,0,50,0,50,0,0,6,0,6,28,1,29,105,111,
01/14/2017,0,9,10,1,20,0,0,0,0,0,0,0,71,1,72,0,0,0,0,0,38,2,40,132,132,
01/15/2017,0,9,6,3,18,0,0,0,0,0,0,0,43,2,45,0,0,0,0,0,80,0,80,143,143,
01/16/2017,0,10,20,0,30,0,0,0,0,0,0,3,64,0,67,0,0,0,0,0,46,0,46,143,143,
01/17/2017,0,4,8,2,14,0,0,0,0,0,0,1,40,0,41,0,0,1,0,1,106,2,108,163,164,
01/18/2017,0,5,14,0,19,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,0,6,26,26,
01/19/2017,0,10,18,2,30,0,0,0,0,0,0,0,15,0,15,0,0,6,2,8,8,0,8,53,61,
01/20/2017,0,6,13,0,19,0,0,0,0,0,0,1,14,0,15,0,0,1,1,2,0,0,0,34,36,
