OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=ASH,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,0,1,3,0,4,0,0,0,0,0,0,0,32,0,32,0,0,0,0,0,38,0,38,74,74,
01-02-2017,0,2,10,0,12,0,0,0,0,0,0,0,113,0,113,0,0,4,0,4,122,0,122,247,251,
01-03-2017,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,
01-04-2017,0,0,13,0,13,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,78,0,78,121,121,
01-05-2017,0,0,14,0,14,0,0,0,0,0,0,0,53,0,53,0,0,4,0,4,94,0,94,161,165,
01-06-2017,0,0,3,0,3,0,0,0,0,0,0,0,31,0,31,0,0,0,0,0,46,0,46,80,80,
01-07-2017,0,0,10,0,10,0,0,0,0,0,0,0,27,0,27,0,0,0,0,0,38,0,38,75,75,
01-08-2017,0,3,9,0,12,0,0,0,0,0,0,0,68,0,68,0,0,0,0,0,108,0,108,188,188,
01-09-2017,0,1,4,0,5,0,0,2,0,2,0,0,56,0,56,0,0,0,0,0,58,0,58,119,121,
01-10-2017,0,3,4,0,7,0,0,0,0,0,0,0,42,0,42,0,0,2,0,2,62,0,62,111,113,
01-11-2017,0,0,2,0,2,0,0,0,0,0,0,0,27,0,27,0,0,0,0,0,92,0,92,121,121,
01-12-2017,0,1,6,0,7,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,20,4,24,43,43,
01/13/2017,0,0,6,0,6,0,2,2,0,4,0,0,34,0,34,0,8,0,0,8,62,0,62,102,114,
01/14/2017,0,3,22,0,25,0,0,0,0,0,0,0,113,0,113,0,0,0,0,0,188,0,188,326,326,
01/15/2017,0,1,8,0,9,0,0,0,0,0,0,0,107,0,107,0,0,0,0,0,106,0,106,222,222,
01/16/2017,0,1,7,0,8,0,0,0,0,0,0,0,85,0,85,0,0,0,0,0,152,0,152,245,245,
01/17/2017,0,0,10,0,10,0,0,0,0,0,0,0,37,0,37,0,0,2,0,2,48,0,48,95,97,
01/18/2017,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
01/19/2017,0,2,3,0,5,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,28,0,28,48,48,
01/20/2017,0,0,11,0,11,0,0,0,0,0,0,0,47,0,47,0,0,4,0,4,64,0,64,122,126,
