OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=ATW,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,5,17,6,0,28,0,0,0,0,0,0,0,41,0,41,0,8,8,0,16,38,0,38,107,123,
01-02-2017,8,16,1,0,25,0,0,0,0,0,0,0,7,0,7,0,4,0,0,4,18,0,18,50,54,
01-03-2017,15,20,9,2,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,46,
01-04-2017,14,17,14,1,46,0,0,0,0,0,0,0,2,1,3,0,4,0,0,4,0,0,0,49,53,
01-05-2017,14,21,14,2,51,0,0,0,0,0,0,0,5,0,5,0,6,8,0,14,0,0,0,56,70,
01-06-2017,8,24,26,1,59,0,0,0,0,0,0,1,22,0,23,0,12,4,0,16,6,0,6,88,104,
01-07-2017,9,13,6,0,28,0,0,0,0,0,0,0,4,0,4,0,0,4,0,4,0,0,0,32,36,
01-08-2017,10,19,5,0,34,0,0,0,0,0,0,0,10,0,10,0,8,2,0,10,8,0,8,52,62,
01-09-2017,11,27,14,3,55,0,0,0,0,0,0,0,10,0,10,0,6,2,0,8,32,0,32,97,105,
01-10-2017,8,15,7,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,
01-11-2017,15,25,16,0,56,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,2,0,2,58,64,
01-12-2017,15,18,16,0,49,0,0,0,0,0,0,0,12,0,12,0,4,2,0,6,10,0,10,71,77,
01/13/2017,12,27,14,0,53,0,0,0,0,0,0,1,18,0,19,0,4,2,0,6,18,0,18,90,96,
01/14/2017,8,10,10,0,28,0,0,0,0,0,0,2,7,0,9,0,6,0,0,6,2,0,2,39,45,
01/15/2017,13,15,4,0,32,0,0,0,0,0,0,0,14,0,14,0,10,0,0,10,8,0,8,54,64,
01/16/2017,7,13,8,0,28,0,0,2,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,28,32,
01/17/2017,13,19,9,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,
01/18/2017,16,19,18,0,53,0,0,0,0,0,0,0,2,0,2,0,4,2,0,6,0,0,0,55,61,
01/19/2017,8,11,17,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,
01/20/2017,14,16,13,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,
