OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=AZO,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,4,10,11,0,25,0,0,0,0,0,0,0,45,0,45,0,0,2,0,2,30,0,30,100,102,
01-02-2017,5,12,9,0,26,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,16,0,16,46,46,
01-03-2017,5,15,8,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,
01-04-2017,3,12,8,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,
01-05-2017,4,14,15,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,
01-06-2017,4,14,26,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,
01-07-2017,2,16,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,
01-08-2017,1,17,7,0,25,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,81,0,81,109,109,
01-09-2017,0,21,16,0,37,0,0,0,0,0,0,1,16,0,17,0,3,0,0,3,16,0,16,70,73,
01-10-2017,0,17,10,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,
01-11-2017,0,19,6,0,25,0,1,0,0,1,0,0,14,0,14,0,0,1,0,1,48,0,48,87,89,
01-12-2017,0,18,8,0,26,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,26,28,
01/13/2017,1,19,33,0,53,0,0,0,0,0,0,1,29,1,31,0,0,8,2,10,33,0,33,117,127,
01/14/2017,1,16,16,0,33,0,0,0,0,0,0,2,51,0,53,0,1,0,0,1,88,0,88,174,175,
01/15/2017,1,13,11,0,25,0,0,0,0,0,0,0,48,0,48,0,2,2,0,4,65,0,65,138,142,
01/16/2017,0,14,11,0,25,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,26,26,
01/17/2017,1,21,10,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,
01/18/2017,1,23,11,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,
01/19/2017,1,20,22,0,43,0,0,1,0,1,0,0,10,0,10,0,0,0,0,0,18,0,18,71,72,
01/20/2017,0,15,5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,
