OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=BAZ,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,0,0,6,0,6,0,0,0,0,0,0,2,31,0,33,0,0,2,0,2,68,0,68,107,109,
01-02-2017,0,0,14,0,14,0,0,0,0,0,0,2,44,0,46,0,2,2,0,4,150,0,150,210,214,
01-03-2017,0,0,8,0,8,0,0,0,0,0,0,2,56,0,58,0,0,10,0,10,54,0,54,120,130,
01-04-2017,0,0,9,18,27,0,0,0,0,0,0,0,62,0,62,0,0,0,0,0,80,10,90,179,179,
01-05-2017,0,0,11,35,46,0,0,0,0,0,0,0,33,0,33,0,0,0,0,0,47,52,99,178,178,
01-06-2017,0,0,10,0,10,0,0,0,0,0,0,0,8,0,8,0,0,0,4,4,24,0,24,42,46,
01-07-2017,0,0,10,4,14,0,0,0,0,0,0,3,37,0,40,0,0,6,0,6,52,2,54,108,114,
01-08-2017,0,2,10,2,14,0,0,0,0,0,0,0,47,0,47,0,0,4,0,4,76,0,76,137,141,
01-09-2017,0,0,15,16,31,0,0,0,0,0,0,1,22,4,27,0,28,2,0,30,46,42,88,146,176,
01-10-2017,0,2,10,20,32,0,0,0,0,0,0,1,40,2,43,0,0,0,42,42,48,16,64,139,181,
01-11-2017,0,0,12,20,32,0,0,0,0,0,0,2,32,2,36,0,0,0,2,2,42,4,46,114,116,
01-12-2017,0,1,14,40,55,0,0,0,0,0,0,3,49,0,52,0,0,0,20,20,72,12,84,191,211,
01/13/2017,0,3,15,8,26,0,0,0,0,0,0,0,16,0,16,0,2,0,0,2,42,0,42,84,86,
01/14/2017,0,3,16,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,
01/15/2017,0,0,10,0,10,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,6,0,6,20,20,
01/16/2017,0,0,16,0,16,0,0,0,0,0,0,2,21,0,23,0,0,0,0,0,22,0,22,61,61,
01/17/2017,0,2,7,0,9,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,11,11,
01/18/2017,0,1,12,33,46,0,0,0,0,0,0,0,8,0,8,0,0,4,0,4,38,0,38,92,96,
01/19/2017,0,0,10,28,38,0,0,0,0,0,0,0,54,8,62,0,0,6,0,6,120,6,126,226,232,
01/20/2017,0,0,5,10,15,0,0,0,0,0,0,1,71,0,72,0,0,4,0,4,120,4,124,211,215,
