OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=BED,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,3,38,39,0,80,0,0,0,0,0,0,9,41,0,50,0,2,7,0,9,28,0,28,158,167,
01-02-2017,4,73,74,0,151,0,0,0,0,0,0,10,137,0,147,0,0,22,0,22,104,0,104,402,424,
01-03-2017,0,61,59,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,120,
01-04-2017,1,43,64,0,108,0,0,0,0,0,0,2,16,0,18,0,6,6,0,12,32,0,32,158,170,
01-05-2017,0,49,45,2,96,0,0,2,0,2,0,10,87,0,97,0,0,8,0,8,74,0,74,267,277,
01-06-2017,3,53,31,0,87,0,0,0,0,0,0,8,57,1,66,0,3,2,0,5,82,0,82,235,240,
01-07-2017,0,21,10,0,31,0,0,2,0,2,0,2,18,0,20,0,0,1,0,1,88,0,88,139,142,
01-08-2017,2,61,53,0,116,0,0,0,0,0,0,7,57,0,64,0,0,0,0,0,38,0,38,218,218,
01-09-2017,2,30,59,2,93,0,0,0,0,0,0,3,53,0,56,0,2,12,0,14,86,0,86,235,249,
01-10-2017,2,39,58,0,99,0,1,0,0,1,0,9,47,0,56,0,1,27,0,28,124,0,124,279,308,
01-11-2017,2,35,79,0,116,0,0,0,0,0,0,5,58,0,63,0,0,21,1,22,48,0,48,227,249,
01-12-2017,7,63,54,2,126,0,1,1,0,2,0,2,16,0,18,0,0,21,0,21,42,0,42,186,209,
01/13/2017,2,56,60,0,118,0,0,0,0,0,0,2,73,0,75,0,1,9,0,10,54,0,54,247,257,
01/14/2017,2,28,44,0,74,0,0,1,0,1,0,2,147,0,149,0,0,23,0,23,180,0,180,403,427,
01/15/2017,0,23,52,0,75,0,0,0,0,0,0,0,170,0,170,0,0,18,0,18,160,0,160,405,423,
01/16/2017,2,63,59,0,124,0,0,0,0,0,0,7,106,0,113,0,5,8,0,13,92,0,92,329,342,
01/17/2017,2,55,59,2,118,0,0,0,0,0,0,5,75,0,80,0,3,5,0,8,128,0,128,326,334,
01/18/2017,0,42,55,0,97,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97,98,
01/19/2017,1,40,79,0,120,0,0,2,0,2,0,4,48,0,52,0,1,10,1,12,118,0,118,290,304,
01/20/2017,1,54,71,0,126,0,1,1,0,2,0,6,103,0,109,0,0,26,0,26,198,0,198,433,461,
