OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=BMI,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,5,8,4,0,17,0,0,0,0,0,0,0,39,0,39,0,0,0,0,0,12,0,12,68,68,
01-02-2017,7,9,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,
01-03-2017,6,7,9,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,
01-04-2017,6,10,3,0,19,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,14,0,14,43,43,
01-05-2017,8,10,10,2,30,8,0,0,0,8,0,0,2,1,3,0,0,0,0,0,0,0,0,33,41,
01-06-2017,8,6,4,0,18,0,0,0,0,0,0,0,4,1,5,0,0,1,0,1,8,8,16,39,40,
01-07-2017,6,6,4,0,16,0,0,0,0,0,0,0,20,0,20,0,1,0,0,1,0,0,0,36,37,
01-08-2017,5,10,11,0,26,0,0,0,0,0,0,0,31,0,31,0,0,1,0,1,28,0,28,85,86,
01-09-2017,9,13,6,0,28,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,31,31,
01-10-2017,10,8,8,0,26,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,26,28,
01-11-2017,8,8,9,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,
01-12-2017,8,9,10,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,
01/13/2017,9,12,4,0,25,0,0,0,0,0,0,0,6,0,6,0,0,2,0,2,0,0,0,31,33,
01/14/2017,2,5,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,
01/15/2017,6,8,4,0,18,0,0,0,0,0,0,0,1,0,1,0,0,3,0,3,0,0,0,19,22,
01/16/2017,6,3,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,
01/17/2017,8,9,9,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,
01/18/2017,7,12,26,0,45,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,14,0,14,63,63,
01/19/2017,6,16,18,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,
01/20/2017,7,10,8,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,
