OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=BTL,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,0,0,1,0,1,0,0,0,0,0,0,0,18,0,18,0,0,1,0,1,9,0,9,28,29,
01-02-2017,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
01-03-2017,0,2,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,
01-04-2017,0,1,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,
01-05-2017,0,1,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,
01-06-2017,0,0,27,0,27,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,18,0,18,57,57,
01-07-2017,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,
01-08-2017,0,4,1,0,5,0,0,0,0,0,0,0,14,0,14,0,0,4,0,4,18,0,18,37,41,
01-09-2017,0,4,32,0,36,0,0,0,0,0,0,0,111,0,111,0,0,0,0,0,284,0,284,431,431,
01-10-2017,0,6,11,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,
01-11-2017,0,2,23,0,25,0,0,0,0,0,0,0,52,0,52,0,0,0,0,0,124,0,124,201,201,
01-12-2017,0,2,15,0,17,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,22,0,22,41,41,
01/13/2017,0,1,56,0,57,0,0,0,0,0,0,0,198,0,198,0,0,0,0,0,354,0,354,609,609,
01/14/2017,0,1,14,0,15,0,0,0,0,0,0,0,135,0,135,0,0,0,0,0,256,0,256,406,406,
01/15/2017,0,3,6,0,9,0,0,0,0,0,0,0,28,0,28,0,0,0,0,0,40,0,40,77,77,
01/16/2017,0,4,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,
01/17/2017,0,9,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,
01/18/2017,0,8,11,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,25,25,
01/19/2017,0,12,30,0,42,0,0,0,0,0,0,0,79,0,79,0,0,0,0,0,152,0,152,273,273,
01/20/2017,0,2,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,
