OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=BUF,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,102,34,10,0,146,0,0,0,0,0,0,11,7,0,18,0,12,8,0,20,20,0,20,184,204,
01-02-2017,111,48,17,0,176,1,0,0,0,1,0,3,3,0,6,0,0,0,0,0,0,0,0,182,183,
01-03-2017,120,46,10,0,176,1,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,178,179,
01-04-2017,125,43,14,0,182,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,182,185,
01-05-2017,117,37,14,0,168,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,169,169,
01-06-2017,119,51,15,0,185,0,0,0,0,0,0,1,4,0,5,0,0,1,1,2,0,0,0,190,192,
01-07-2017,87,31,6,0,124,1,0,0,0,1,0,3,12,0,15,0,2,0,0,2,0,0,0,139,142,
01-08-2017,105,35,13,0,153,1,0,0,0,1,0,3,0,0,3,0,1,0,0,1,0,0,0,156,158,
01-09-2017,119,51,20,0,190,0,0,0,0,0,0,4,7,0,11,0,1,2,0,3,32,0,32,233,236,
01-10-2017,125,61,9,0,195,0,0,1,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,197,198,
01-11-2017,129,57,24,0,210,0,0,0,0,0,0,14,13,0,27,0,1,1,0,2,40,0,40,277,279,
01-12-2017,124,56,12,0,192,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,192,194,
01/13/2017,118,61,31,0,210,0,0,1,0,1,0,5,16,0,21,0,4,6,1,11,0,0,0,231,243,
01/14/2017,95,35,12,0,142,1,0,0,0,1,0,2,15,0,17,0,1,1,0,2,20,0,20,179,182,
01/15/2017,94,45,16,0,155,2,0,0,0,2,0,6,10,0,16,0,6,3,0,9,0,0,0,171,182,
01/16/2017,119,61,25,0,205,1,0,1,0,2,0,6,13,0,19,0,0,2,1,3,34,0,34,258,263,
01/17/2017,120,54,9,2,185,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,30,0,30,215,218,
01/18/2017,126,50,21,0,197,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,24,0,24,221,222,
01/19/2017,131,55,24,2,212,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,212,215,
01/20/2017,128,57,13,2,200,4,0,2,0,6,0,0,0,0,0,0,0,1,0,1,1,0,1,201,208,
