OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=BVY,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,0,1,3,0,4,0,1,0,0,1,0,0,31,0,31,0,0,1,0,1,14,0,14,49,51,
01-02-2017,0,6,10,0,16,0,0,3,0,3,0,3,79,0,82,0,0,1,0,1,122,0,122,220,224,
01-03-2017,0,4,4,0,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,9,9,
01-04-2017,0,1,6,0,7,0,0,0,0,0,0,0,50,0,50,0,0,4,0,4,46,0,46,103,107,
01-05-2017,0,3,3,0,6,0,0,0,0,0,0,2,58,0,60,0,0,2,0,2,78,0,78,144,146,
01-06-2017,0,0,3,0,3,0,0,0,0,0,0,0,31,0,31,0,0,0,0,0,60,0,60,94,94,
01-07-2017,0,0,1,0,1,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,18,0,18,30,30,
01-08-2017,0,3,2,0,5,0,0,0,0,0,0,0,25,0,25,0,0,1,0,1,36,0,36,66,67,
01-09-2017,0,0,4,0,4,0,0,0,0,0,0,1,59,0,60,0,0,2,0,2,26,0,26,90,92,
01-10-2017,0,4,6,0,10,0,0,0,0,0,0,1,48,0,49,0,1,9,0,10,56,0,56,115,125,
01-11-2017,0,1,1,0,2,0,0,0,0,0,0,0,43,0,43,0,2,1,2,5,86,0,86,131,136,
01-12-2017,0,5,4,0,9,0,1,0,0,1,0,0,41,0,41,0,0,9,0,9,48,0,48,98,108,
01/13/2017,0,1,5,0,6,0,0,0,0,0,0,0,30,0,30,0,0,3,0,3,4,0,4,40,43,
01/14/2017,0,5,11,1,17,0,0,0,0,0,0,0,90,2,92,0,0,1,0,1,134,0,134,243,244,
01/15/2017,0,4,12,0,16,0,0,0,0,0,0,0,94,0,94,0,0,2,0,2,98,0,98,208,210,
01/16/2017,0,3,12,0,15,3,1,0,0,4,0,2,89,0,91,0,1,4,0,5,140,0,140,246,255,
01/17/2017,0,1,4,0,5,0,0,0,0,0,0,0,55,0,55,0,0,8,0,8,86,0,86,146,154,
01/18/2017,0,3,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,
01/19/2017,0,1,11,0,12,0,0,0,0,0,0,0,32,0,32,0,0,1,0,1,36,0,36,80,81,
01/20/2017,0,3,16,0,19,0,1,0,0,1,0,0,65,0,65,0,0,5,2,7,98,0,98,182,190,
