OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=BWI,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,537,45,20,0,602,0,1,0,0,1,0,0,6,0,6,0,6,20,0,26,0,0,0,608,635,
01-02-2017,599,60,18,0,677,2,0,0,0,2,0,0,0,0,0,0,1,1,0,2,0,0,0,677,681,
01-03-2017,628,72,18,0,718,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,718,719,
01-04-2017,590,66,28,0,684,0,1,0,0,1,0,0,6,0,6,0,6,18,2,26,0,0,0,690,717,
01-05-2017,540,73,30,0,643,0,0,0,0,0,0,1,9,2,12,0,9,12,0,21,0,0,0,655,676,
01-06-2017,512,71,23,0,606,0,0,1,0,1,0,0,6,0,6,0,2,34,1,37,0,0,0,612,650,
01-07-2017,435,50,9,0,494,0,0,0,0,0,0,1,0,0,1,0,4,12,0,16,0,0,0,495,511,
01-08-2017,473,59,14,0,546,0,0,0,0,0,0,0,2,0,2,0,2,13,1,16,0,0,0,548,564,
01-09-2017,525,69,12,2,608,1,0,0,0,1,0,0,8,2,10,0,2,29,1,32,0,0,0,618,651,
01-10-2017,531,71,31,1,634,0,0,1,0,1,0,0,6,1,7,0,3,21,0,24,0,0,0,641,666,
01-11-2017,533,79,25,0,637,1,0,0,0,1,0,0,6,0,6,0,3,20,1,24,0,0,0,643,668,
01-12-2017,552,87,36,1,676,0,0,0,0,0,0,3,5,3,11,0,7,18,4,29,0,0,0,687,716,
01/13/2017,538,88,25,1,652,1,0,2,0,3,0,2,12,1,15,0,12,35,3,50,0,0,0,667,720,
01/14/2017,358,40,9,0,407,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,407,409,
01/15/2017,463,53,16,0,532,0,0,1,0,1,0,1,4,0,5,0,2,17,0,19,0,0,0,537,557,
01/16/2017,532,79,16,0,627,2,0,1,0,3,0,0,7,0,7,0,3,20,2,25,0,0,0,634,662,
01/17/2017,543,86,36,4,669,7,1,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,669,679,
01/18/2017,536,68,37,0,641,1,0,0,0,1,0,3,8,1,12,0,6,30,1,37,0,0,0,653,691,
01/19/2017,553,89,47,3,692,0,0,1,0,1,0,2,5,1,8,0,5,25,0,30,0,0,0,700,731,
01/20/2017,552,102,14,3,671,0,0,0,0,0,0,1,0,0,1,0,1,6,0,7,0,0,0,672,679,
