OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=BZN,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,45,42,39,0,126,0,0,0,0,0,0,2,5,0,7,0,0,0,0,0,0,0,0,133,133,
01-02-2017,46,70,56,0,172,0,0,0,0,0,0,1,5,0,6,0,0,0,0,0,0,0,0,178,178,
01-03-2017,35,27,39,4,105,0,0,0,0,0,0,1,32,0,33,0,0,0,0,0,14,0,14,152,152,
01-04-2017,26,23,16,0,65,0,0,0,0,0,0,0,49,0,49,0,0,0,0,0,72,0,72,186,186,
01-05-2017,24,20,13,0,57,0,0,0,0,0,0,3,21,0,24,0,0,2,0,2,20,0,20,101,103,
01-06-2017,24,29,33,0,86,0,0,0,0,0,0,4,48,0,52,0,0,0,0,0,50,0,50,188,188,
01-07-2017,31,16,15,0,62,0,0,0,0,0,0,0,39,0,39,0,0,0,0,0,22,0,22,123,123,
01-08-2017,29,19,23,0,71,0,0,0,0,0,0,0,10,4,14,0,0,0,0,0,4,0,4,89,89,
01-09-2017,26,16,5,0,47,0,0,0,0,0,0,0,19,0,19,0,0,0,0,0,28,0,28,94,94,
01-10-2017,25,24,13,0,62,0,0,0,0,0,0,1,32,0,33,0,1,0,0,1,58,0,58,153,154,
01-11-2017,21,22,14,0,57,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,58,58,
01-12-2017,27,38,28,0,93,0,0,0,0,0,0,3,58,0,61,0,0,1,0,1,78,0,78,232,233,
01/13/2017,26,44,56,0,126,0,0,0,0,0,0,0,103,0,103,0,0,0,0,0,77,0,77,306,306,
01/14/2017,29,20,25,1,75,0,0,0,0,0,0,2,56,0,58,0,0,0,0,0,38,0,38,171,171,
01/15/2017,31,12,15,0,58,0,0,0,0,0,0,0,30,0,30,0,0,2,0,2,20,0,20,108,110,
01/16/2017,35,48,66,0,149,0,0,0,0,0,0,2,64,0,66,0,0,0,0,0,70,0,70,285,285,
01/17/2017,22,21,38,0,81,0,0,0,0,0,0,4,81,0,85,0,0,0,0,0,126,0,126,292,292,
01/18/2017,24,20,38,0,82,0,0,0,0,0,0,5,102,0,107,0,0,2,0,2,210,0,210,399,401,
01/19/2017,28,28,29,0,85,0,0,0,0,0,0,1,47,0,48,0,0,1,0,1,134,0,134,267,268,
01/20/2017,27,30,21,1,79,0,0,0,0,0,0,2,111,0,113,0,0,1,0,1,158,0,158,350,351,
