OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=CHA,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,17,39,24,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,
01-02-2017,15,26,24,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,
01-03-2017,21,39,59,2,121,0,0,0,0,0,0,0,2,0,2,0,5,0,0,5,0,0,0,123,128,
01-04-2017,17,31,44,9,101,0,0,0,0,0,0,0,18,1,19,0,9,4,0,13,34,0,34,154,167,
01-05-2017,21,36,40,24,121,0,0,0,0,0,0,1,19,5,25,0,11,1,1,13,20,0,20,166,179,
01-06-2017,17,31,40,0,88,0,0,0,0,0,0,0,3,0,3,0,2,0,0,2,22,0,22,113,115,
01-07-2017,15,14,23,7,59,0,0,0,0,0,0,1,11,5,17,0,6,2,0,8,0,0,0,76,84,
01-08-2017,14,31,23,0,68,0,0,0,0,0,0,2,16,0,18,0,11,2,0,13,0,0,0,86,99,
01-09-2017,17,48,30,41,136,0,0,0,0,0,0,1,21,0,22,0,11,5,0,16,6,48,54,212,228,
01-10-2017,16,42,36,3,97,0,0,0,0,0,0,0,9,1,10,0,5,1,0,6,10,0,10,117,123,
01-11-2017,15,44,47,22,128,0,1,0,0,1,0,0,1,0,1,0,3,0,0,3,0,0,0,129,133,
01-12-2017,19,41,57,34,151,0,0,0,1,1,0,0,8,4,12,0,6,2,0,8,0,0,0,163,172,
01/13/2017,18,38,44,13,113,0,0,0,0,0,0,0,6,1,7,0,3,1,0,4,30,0,30,150,154,
01/14/2017,13,25,21,0,59,0,0,0,0,0,0,0,5,0,5,0,7,2,0,9,42,0,42,106,115,
01/15/2017,15,25,34,4,78,0,0,0,0,0,0,1,20,0,21,0,11,2,0,13,10,0,10,109,122,
01/16/2017,17,40,44,0,101,0,0,0,0,0,0,0,28,0,28,0,1,4,0,5,56,0,56,185,190,
01/17/2017,16,40,56,10,122,0,0,0,0,0,0,0,2,0,2,0,2,1,0,3,0,0,0,124,127,
01/18/2017,16,44,49,57,166,0,0,0,0,0,0,1,25,8,34,0,16,3,0,19,56,103,159,359,378,
01/19/2017,20,46,68,15,149,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,16,18,34,186,186,
01/20/2017,19,41,60,37,157,0,0,0,0,0,0,0,22,5,27,0,12,1,0,13,14,38,52,236,249,
