OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=CHO,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,9,34,8,0,51,0,0,0,0,0,0,3,15,0,18,0,2,0,0,2,50,0,50,119,121,
01-02-2017,12,40,14,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,66,
01-03-2017,14,31,26,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,71,
01-04-2017,15,46,29,15,105,0,0,0,0,0,0,0,44,0,44,0,4,0,0,4,20,0,20,169,173,
01-05-2017,12,32,20,0,64,0,0,0,0,0,0,4,60,0,64,0,5,0,0,5,74,0,74,202,207,
01-06-2017,15,43,19,4,81,0,0,0,0,0,0,6,23,4,33,0,3,1,2,6,30,8,38,152,158,
01-07-2017,6,21,4,0,31,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,34,34,
01-08-2017,10,26,12,0,48,0,0,0,0,0,0,2,13,0,15,0,2,0,0,2,0,0,0,63,65,
01-09-2017,16,30,11,0,57,0,0,0,0,0,0,0,17,32,49,0,2,0,0,2,10,0,10,116,118,
01-10-2017,21,31,27,5,84,0,0,0,0,0,0,7,42,0,49,0,5,0,4,9,40,0,40,173,182,
01-11-2017,15,41,27,4,87,0,4,1,0,5,0,5,38,0,43,0,2,0,0,2,40,0,40,170,177,
01-12-2017,15,46,17,1,79,0,0,0,0,0,0,2,58,3,63,0,1,0,1,2,68,4,72,214,216,
01/13/2017,16,42,47,7,112,0,0,0,0,0,0,9,54,7,70,0,4,3,4,11,42,38,80,262,273,
01/14/2017,13,18,11,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,
01/15/2017,12,30,14,0,56,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,57,57,
01/16/2017,17,36,28,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,81,
01/17/2017,25,38,35,0,98,0,0,0,0,0,0,4,1,0,5,0,0,0,2,2,0,0,0,103,105,
01/18/2017,19,34,13,11,77,0,0,0,0,0,0,2,44,1,47,0,2,0,0,2,16,18,34,158,160,
01/19/2017,16,43,26,10,95,0,0,9,0,9,0,2,72,6,80,0,0,0,0,0,52,10,62,237,246,
01/20/2017,16,45,19,2,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,82,
