OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=CID,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,25,34,15,0,74,0,0,0,0,0,0,1,21,0,22,0,0,1,0,1,42,0,42,138,139,
01-02-2017,17,31,4,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,56,56,
01-03-2017,37,38,14,0,89,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,91,91,
01-04-2017,29,44,13,0,86,0,0,0,0,0,0,1,12,0,13,0,0,0,0,0,2,0,2,101,101,
01-05-2017,34,40,17,2,93,0,0,0,0,0,0,1,4,2,7,0,1,0,0,1,0,0,0,100,101,
01-06-2017,29,42,13,0,84,0,0,0,0,0,0,0,19,2,21,0,1,0,0,1,8,0,8,113,114,
01-07-2017,28,22,7,0,57,0,0,0,0,0,0,0,25,0,25,0,0,0,0,0,10,0,10,92,92,
01-08-2017,29,36,9,0,74,0,0,0,0,0,0,0,22,0,22,0,0,0,0,0,20,0,20,116,116,
01-09-2017,33,33,15,0,81,0,0,0,0,0,0,0,12,0,12,0,1,1,0,2,22,0,22,115,117,
01-10-2017,39,34,8,0,81,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,82,83,
01-11-2017,42,39,12,0,93,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,24,0,24,124,124,
01-12-2017,44,39,31,0,114,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,124,124,
01/13/2017,35,41,15,0,91,0,0,0,0,0,0,0,23,0,23,0,0,0,0,0,20,0,20,134,134,
01/14/2017,29,24,8,0,61,0,0,0,0,0,0,0,29,0,29,0,0,0,0,0,38,0,38,128,128,
01/15/2017,32,31,18,0,81,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,12,0,12,105,105,
01/16/2017,26,26,11,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,63,
01/17/2017,33,35,17,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,
01/18/2017,42,35,25,0,102,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,18,0,18,129,129,
01/19/2017,45,38,30,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,113,
01/20/2017,33,29,9,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,71,
