OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=CMA,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,0,10,14,0,24,0,0,1,0,1,0,0,159,1,160,0,0,7,0,7,85,0,85,269,277,
01-02-2017,0,14,39,0,53,0,0,11,1,12,0,3,94,0,97,0,0,12,2,14,235,0,235,385,411,
01-03-2017,0,14,45,0,59,0,0,12,14,26,0,2,101,0,103,0,0,9,1,10,204,0,204,366,402,
01-04-2017,0,14,30,5,49,0,0,6,15,21,0,0,1,0,1,0,0,1,0,1,0,0,0,50,72,
01-05-2017,0,8,34,0,42,0,0,15,18,33,0,0,10,2,12,0,0,2,0,2,56,8,64,118,153,
01-06-2017,0,10,30,1,41,0,0,12,21,33,0,0,230,4,234,0,0,36,0,36,328,0,328,603,672,
01-07-2017,0,2,26,0,28,0,0,8,3,11,0,0,82,0,82,0,0,13,0,13,118,0,118,228,252,
01-08-2017,0,6,30,0,36,0,0,9,1,10,0,0,262,1,263,0,0,36,0,36,160,0,160,459,505,
01-09-2017,0,1,30,0,31,0,0,14,18,32,0,0,15,0,15,0,0,2,0,2,74,0,74,120,154,
01-10-2017,0,6,53,0,59,0,0,13,24,37,0,0,32,0,32,0,0,10,4,14,212,0,212,303,354,
01-11-2017,0,10,44,9,63,0,0,23,34,57,0,0,71,1,72,0,0,11,5,16,254,0,254,389,462,
01-12-2017,0,4,55,0,59,0,0,12,22,34,0,0,5,1,6,0,0,1,0,1,54,0,54,119,154,
01/13/2017,0,11,48,0,59,0,0,11,4,15,0,1,168,1,170,0,0,14,4,18,126,0,126,355,388,
01/14/2017,0,4,35,0,39,0,0,19,1,20,0,2,248,0,250,0,0,22,0,22,147,0,147,436,478,
01/15/2017,0,8,27,0,35,0,0,11,0,11,0,2,153,3,158,0,0,13,0,13,203,0,203,396,420,
01/16/2017,0,8,52,0,60,0,0,10,2,12,0,0,233,0,233,0,0,34,0,34,132,0,132,425,471,
01/17/2017,0,5,24,1,30,0,0,14,11,25,0,3,210,4,217,0,0,30,1,31,206,0,206,453,509,
01/18/2017,0,10,46,2,58,0,0,12,16,28,0,1,61,1,63,0,0,12,6,18,156,0,156,277,323,
01/19/2017,0,11,40,0,51,0,0,10,21,31,0,0,46,2,48,0,0,21,9,30,158,13,171,270,331,
01/20/2017,0,5,12,0,17,0,0,1,11,12,0,0,7,0,7,0,0,0,0,0,0,0,0,24,36,
