OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=CMI,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,3,11,7,0,21,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,0,37,37,
01-02-2017,1,12,4,0,17,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,
01-03-2017,0,16,6,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,
01-04-2017,0,17,7,0,24,0,0,0,0,0,0,0,13,0,13,0,1,1,0,2,20,0,20,57,59,
01-05-2017,0,14,9,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,
01-06-2017,0,16,6,0,22,0,0,0,0,0,0,2,11,0,13,0,0,2,0,2,36,0,36,71,73,
01-07-2017,0,10,19,0,29,0,0,0,0,0,0,2,12,0,14,0,0,2,0,2,28,0,28,71,73,
01-08-2017,0,13,7,0,20,0,0,0,0,0,0,0,3,0,3,0,1,0,0,1,26,0,26,49,50,
01-09-2017,1,15,5,0,21,0,0,0,0,0,0,2,10,0,12,0,2,0,0,2,62,0,62,95,97,
01-10-2017,2,11,15,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,
01-11-2017,0,15,16,0,31,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,12,0,12,44,44,
01-12-2017,0,16,8,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,50,50,
01/13/2017,2,22,16,0,40,0,0,1,1,2,0,11,17,0,28,0,0,1,0,1,106,0,106,174,177,
01/14/2017,2,9,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,
01/15/2017,0,16,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,82,99,99,
01/16/2017,1,6,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,
01/17/2017,1,12,13,0,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,26,27,
01/18/2017,0,18,15,0,33,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,64,0,64,99,99,
01/19/2017,0,22,7,0,29,0,0,1,0,1,0,2,1,0,3,0,0,1,0,1,18,0,18,50,52,
01/20/2017,3,19,13,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,
