OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=COS,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,30,36,14,0,80,0,0,0,0,0,0,4,41,2,47,0,4,1,1,6,64,2,66,193,199,
01-02-2017,33,35,30,2,100,0,0,0,0,0,0,2,15,0,17,0,3,0,0,3,8,0,8,125,128,
01-03-2017,31,35,11,2,79,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,82,82,
01-04-2017,38,22,27,8,95,0,0,0,0,0,0,1,11,7,19,0,1,0,0,1,42,8,50,164,165,
01-05-2017,38,35,8,2,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,83,
01-06-2017,42,32,21,12,107,0,0,0,0,0,0,3,37,11,51,0,4,1,0,5,24,20,44,202,207,
01-07-2017,33,22,22,29,106,0,0,0,0,0,0,6,51,20,77,0,2,1,0,3,80,24,104,287,290,
01-08-2017,40,30,21,15,106,0,0,0,0,0,0,5,42,9,56,0,7,0,0,7,102,14,116,278,285,
01-09-2017,21,22,4,1,48,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,49,50,
01-10-2017,38,22,15,8,83,0,0,0,0,0,0,2,7,3,12,0,4,1,0,5,0,0,0,95,100,
01-11-2017,35,26,17,18,96,0,0,0,0,0,0,2,7,9,18,0,2,1,1,4,0,34,34,148,152,
01-12-2017,35,36,33,29,133,0,0,0,0,0,0,3,43,21,67,0,8,2,0,10,106,78,184,384,394,
01/13/2017,35,29,25,31,120,0,0,0,0,0,0,3,38,21,62,0,2,1,1,4,110,34,144,326,330,
01/14/2017,30,20,21,4,75,0,0,0,0,0,0,6,65,6,77,0,3,3,0,6,112,0,112,264,270,
01/15/2017,33,20,7,3,63,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,112,0,112,176,177,
01/16/2017,35,28,10,5,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,78,
01/17/2017,34,21,32,25,112,0,0,0,0,0,0,4,22,17,43,0,3,1,0,4,38,124,162,317,321,
01/18/2017,35,23,27,36,121,0,0,0,1,1,0,10,50,46,106,0,9,2,3,14,49,156,205,432,447,
01/19/2017,36,32,27,15,110,0,0,0,1,1,0,9,57,37,103,0,11,1,1,13,126,154,280,493,507,
01/20/2017,37,37,19,26,119,0,0,0,0,0,0,0,1,9,10,0,0,0,2,2,50,94,144,273,275,
