OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=CPR,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,2,15,8,0,25,0,0,0,0,0,0,2,4,0,6,0,0,0,0,0,20,0,20,51,51,
01-02-2017,0,16,6,0,22,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,26,26,
01-03-2017,2,36,13,0,51,0,0,0,0,0,0,2,13,0,15,0,1,0,0,1,10,0,10,76,77,
01-04-2017,3,38,14,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,
01-05-2017,6,28,14,4,52,0,0,0,0,0,0,0,19,0,19,0,0,0,0,0,0,0,0,71,71,
01-06-2017,3,29,11,8,51,0,0,0,0,0,0,2,11,0,13,0,0,1,0,1,0,0,0,64,65,
01-07-2017,2,23,15,0,40,0,0,0,0,0,0,1,16,0,17,0,0,0,0,0,0,0,0,57,57,
01-08-2017,2,14,5,2,23,0,0,0,0,0,0,1,0,2,3,0,2,1,0,3,0,4,4,30,33,
01-09-2017,1,28,11,0,40,0,0,0,0,0,0,1,12,0,13,0,4,0,0,4,0,0,0,53,57,
01-10-2017,3,34,7,0,44,0,0,0,0,0,0,2,5,0,7,0,0,0,0,0,0,0,0,51,51,
01-11-2017,4,28,21,0,53,0,0,0,0,0,0,0,6,0,6,0,0,1,0,1,3,0,3,62,63,
01-12-2017,5,37,18,0,60,0,0,0,0,0,0,0,22,0,22,0,0,3,0,3,22,0,22,104,107,
01/13/2017,3,30,13,6,52,0,0,0,0,0,0,1,12,2,15,0,0,1,0,1,0,0,0,67,68,
01/14/2017,2,19,5,0,26,0,0,0,0,0,0,3,17,0,20,0,0,0,0,0,18,0,18,64,64,
01/15/2017,2,16,7,10,35,0,0,0,0,0,0,0,10,1,11,0,0,0,0,0,14,14,28,74,74,
01/16/2017,2,28,7,0,37,0,0,0,0,0,0,3,16,0,19,0,0,4,0,4,16,0,16,72,76,
01/17/2017,4,30,12,1,47,0,0,0,0,0,0,1,10,1,12,0,0,2,0,2,0,0,0,59,61,
01/18/2017,2,29,23,0,54,0,0,0,0,0,0,1,16,0,17,0,0,0,0,0,18,0,18,89,89,
01/19/2017,6,31,14,0,51,0,0,0,0,0,0,0,8,0,8,0,0,1,0,1,0,0,0,59,60,
01/20/2017,3,33,7,0,43,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,44,44,
