OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=CPS,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,1,0,5,0,6,0,0,0,0,0,0,0,6,0,6,0,13,5,3,21,10,0,10,22,43,
01-02-2017,2,13,12,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,
01-03-2017,0,0,16,0,16,7,0,0,0,7,0,2,2,0,4,0,4,0,0,4,51,0,51,71,82,
01-04-2017,1,2,29,0,32,3,0,0,2,5,0,12,52,1,65,0,20,16,5,41,194,0,194,291,337,
01-05-2017,0,0,7,0,7,7,5,0,0,12,0,0,20,0,20,0,6,8,0,14,137,0,137,164,190,
01-06-2017,0,1,33,0,34,0,0,0,0,0,0,6,33,2,41,0,15,13,2,30,182,0,182,257,287,
01-07-2017,0,2,21,0,23,5,0,0,3,8,0,9,39,0,48,0,7,16,2,25,171,0,171,242,275,
01-08-2017,4,4,25,0,33,0,0,0,0,0,0,2,40,0,42,0,14,7,0,21,28,0,28,103,124,
01-09-2017,1,6,29,4,40,0,0,0,0,0,0,24,38,3,65,0,7,15,2,24,165,0,165,270,294,
01-10-2017,2,4,17,0,23,0,0,0,0,0,0,4,3,0,7,0,6,0,4,10,6,0,6,36,46,
01-11-2017,0,6,36,0,42,0,0,0,1,1,0,0,21,0,21,0,7,4,0,11,22,0,22,85,97,
01-12-2017,0,5,23,0,28,5,0,0,0,5,0,0,13,1,14,0,5,7,0,12,94,0,94,136,153,
01/13/2017,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,
01/14/2017,0,1,4,0,5,16,4,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,
01/15/2017,0,0,1,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,
01/16/2017,2,3,17,3,25,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,8,0,8,33,36,
01/17/2017,0,4,35,3,42,14,4,2,0,20,0,2,47,0,49,0,21,20,0,41,360,0,360,451,512,
01/18/2017,2,5,48,3,58,7,2,2,0,11,0,19,76,1,96,0,14,26,6,46,427,0,427,581,638,
01/19/2017,1,4,22,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,
01/20/2017,0,6,18,0,24,0,0,0,1,1,0,4,22,0,26,0,12,20,2,34,146,0,146,196,231,
