OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=CRE,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,0,1,24,0,25,4,0,0,0,4,0,13,8,2,23,0,26,2,0,28,0,0,0,48,80,
01-02-2017,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,
01-03-2017,0,0,9,0,9,0,0,0,0,0,0,0,2,0,2,0,2,0,0,2,0,0,0,11,13,
01-04-2017,0,0,17,0,17,0,0,0,0,0,0,0,7,0,7,0,2,0,0,2,0,0,0,24,26,
01-05-2017,0,0,25,2,27,6,0,0,0,6,0,6,20,2,28,0,6,4,4,14,0,4,4,59,79,
01-06-2017,0,1,3,0,4,4,0,0,0,4,0,7,7,3,17,0,2,8,0,10,0,0,0,21,35,
01-07-2017,0,0,0,0,0,4,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
01-08-2017,0,0,5,0,5,10,0,0,0,10,0,0,7,0,7,0,0,4,0,4,0,0,0,12,26,
01-09-2017,0,0,11,0,11,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,21,21,
01-10-2017,0,0,15,0,15,0,0,0,0,0,0,0,4,2,6,0,0,0,0,0,10,0,10,31,31,
01-11-2017,0,0,8,0,8,0,0,0,0,0,0,0,12,0,12,0,4,0,0,4,10,0,10,30,34,
01-12-2017,0,0,14,3,17,0,0,0,0,0,0,5,16,2,23,0,2,0,2,4,0,0,0,40,44,
01/13/2017,0,2,27,0,29,0,0,0,0,0,0,2,19,0,21,0,0,0,0,0,8,0,8,58,58,
01/14/2017,0,4,18,0,22,2,0,0,0,2,0,2,12,0,14,0,14,4,0,18,4,0,4,40,60,
01/15/2017,0,1,15,0,16,2,0,0,0,2,0,6,17,0,23,0,20,12,0,32,8,8,16,55,89,
01/16/2017,0,1,16,0,17,0,0,0,0,0,0,0,4,0,4,0,2,0,0,2,22,0,22,43,45,
01/17/2017,0,2,4,0,6,0,0,0,0,0,0,0,13,0,13,0,2,4,0,6,12,0,12,31,37,
01/18/2017,0,3,13,3,19,0,0,0,0,0,0,0,14,15,29,0,2,8,0,10,12,10,22,70,80,
01/19/2017,0,0,16,2,18,4,0,0,4,8,0,2,23,0,25,0,0,4,2,6,6,0,6,49,63,
01/20/2017,0,3,13,6,22,2,0,0,0,2,0,8,12,2,22,0,4,2,0,6,20,0,20,64,72,
