OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=CRQ,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,0,17,77,0,94,0,0,0,0,0,0,1,73,0,74,0,4,7,0,11,174,0,174,342,353,
01-02-2017,0,13,127,0,140,0,0,0,0,0,0,0,73,0,73,0,0,2,0,2,276,1,277,490,492,
01-03-2017,0,20,117,0,137,0,0,0,0,0,0,0,150,0,150,0,0,14,2,16,201,0,201,488,504,
01-04-2017,0,16,90,0,106,0,0,0,0,0,0,0,138,4,142,0,0,10,6,16,231,0,231,479,495,
01-05-2017,0,17,56,0,73,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,73,74,
01-06-2017,0,15,129,0,144,0,0,0,0,0,0,7,152,0,159,0,3,21,18,42,328,0,328,631,673,
01-07-2017,0,7,95,1,103,0,0,0,0,0,0,3,191,0,194,0,1,9,1,11,188,0,188,485,496,
01-08-2017,0,15,73,1,89,0,1,0,0,1,0,0,198,0,198,0,2,15,0,17,175,0,175,462,480,
01-09-2017,0,16,65,0,81,0,0,0,0,0,0,3,3,0,6,0,1,1,1,3,20,0,20,107,110,
01-10-2017,0,13,141,0,154,0,0,0,0,0,0,1,57,0,58,0,1,10,7,18,226,0,226,438,456,
01-11-2017,0,13,57,1,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,71,
01-12-2017,0,18,63,4,85,0,0,0,0,0,0,0,18,2,20,0,0,0,11,11,42,0,42,147,158,
01/13/2017,0,22,116,0,138,0,0,1,0,1,0,1,93,0,94,0,0,9,12,21,281,0,281,513,535,
01/14/2017,0,10,98,0,108,0,0,1,0,1,0,1,226,4,231,0,2,20,0,22,230,0,230,569,592,
01/15/2017,0,21,115,0,136,0,1,0,0,1,0,0,78,0,78,0,2,8,0,10,188,0,188,402,413,
01/16/2017,0,21,126,0,147,0,0,0,0,0,0,1,195,0,196,0,0,17,0,17,233,0,233,576,593,
01/17/2017,0,13,120,0,133,0,0,0,0,0,0,0,219,0,219,0,3,13,7,23,187,0,187,539,562,
01/18/2017,0,12,152,0,164,0,0,0,0,0,0,2,126,0,128,0,0,12,1,13,250,0,250,542,555,
01/19/2017,0,15,67,0,82,0,0,0,0,0,0,1,19,3,23,0,5,5,6,16,72,0,72,177,193,
01/20/2017,0,13,17,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,
