OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=CRW,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,2,25,5,0,32,0,0,0,0,0,0,1,2,0,3,0,2,0,0,2,4,0,4,39,41,
01-02-2017,2,32,14,10,58,2,0,0,0,2,0,5,3,0,8,0,4,0,0,4,1,18,19,85,91,
01-03-2017,2,40,10,0,52,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,54,54,
01-04-2017,2,41,10,5,58,0,1,0,0,1,0,10,8,1,19,0,7,0,0,7,28,20,48,125,133,
01-05-2017,2,41,12,19,74,0,0,0,0,0,0,2,5,1,8,0,0,0,0,0,0,0,0,82,82,
01-06-2017,0,23,11,16,50,4,5,6,0,15,0,6,10,4,20,0,3,1,0,4,0,12,12,82,101,
01-07-2017,1,23,7,0,31,0,0,0,0,0,0,9,11,0,20,0,6,0,0,6,0,0,0,51,57,
01-08-2017,4,33,13,14,64,11,0,0,0,11,0,2,0,6,8,0,0,0,2,2,0,6,6,78,91,
01-09-2017,12,46,17,4,79,3,7,3,2,15,0,13,24,0,37,0,17,2,0,19,22,14,36,152,186,
01-10-2017,2,35,12,23,72,0,0,0,0,0,0,6,13,20,39,0,8,3,0,11,0,40,40,151,162,
01-11-2017,2,44,11,24,81,0,0,0,0,0,0,0,10,1,11,0,0,0,4,4,0,116,116,208,212,
01-12-2017,2,45,24,13,84,1,0,0,0,1,0,1,7,5,13,0,2,1,0,3,0,4,4,101,105,
01/13/2017,2,52,19,14,87,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,87,94,
01/14/2017,2,21,5,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,
01/15/2017,4,28,20,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,52,
01/16/2017,4,34,20,1,59,0,0,0,0,0,0,2,23,0,25,0,1,1,0,2,0,0,0,84,86,
01/17/2017,2,40,12,13,67,3,0,5,0,8,0,5,7,4,16,0,2,0,0,2,20,18,38,121,131,
01/18/2017,2,60,12,5,79,0,0,0,0,0,0,3,6,5,14,0,0,0,1,1,0,22,22,115,116,
01/19/2017,2,45,23,12,82,0,0,0,0,0,0,9,19,3,31,0,6,0,0,6,20,110,130,243,249,
01/20/2017,2,61,28,12,103,0,3,0,0,3,0,13,4,0,17,0,5,0,0,5,0,10,10,130,138,
