OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=CWF,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,0,0,1,0,1,0,0,6,0,6,0,0,2,0,2,0,0,0,0,0,0,0,0,3,9,
01-02-2017,0,0,5,0,5,0,0,6,0,6,0,1,10,0,11,0,2,4,0,6,0,0,0,16,28,
01-03-2017,0,0,6,8,14,0,0,10,0,10,0,5,9,0,14,0,36,16,0,52,0,14,14,42,104,
01-04-2017,0,2,5,23,30,0,2,12,0,14,0,6,4,6,16,0,16,6,0,22,0,12,12,58,94,
01-05-2017,0,5,1,43,49,0,4,6,0,10,0,1,9,4,14,0,2,0,0,2,16,24,40,103,115,
01-06-2017,0,0,3,2,5,0,0,0,0,0,0,0,1,5,6,0,0,0,0,0,0,0,0,11,11,
01-07-2017,0,2,5,31,38,0,2,0,4,6,0,1,10,13,24,0,10,0,0,10,6,8,14,76,92,
01-08-2017,0,0,1,7,8,0,0,2,0,2,0,3,6,6,15,0,4,0,0,4,0,16,16,39,45,
01-09-2017,1,0,12,19,32,0,0,10,0,10,0,0,7,6,13,0,26,2,0,28,0,0,0,45,83,
01-10-2017,0,1,3,35,39,0,2,8,2,12,0,5,2,4,11,0,12,2,0,14,10,40,50,100,126,
01-11-2017,0,2,9,49,60,0,0,8,6,14,0,0,4,4,8,0,14,4,0,18,10,12,22,90,122,
01-12-2017,0,3,14,18,35,0,0,16,0,16,0,5,6,1,12,0,16,22,0,38,0,0,0,47,101,
01/13/2017,0,7,1,31,39,0,0,0,0,0,0,3,5,3,11,0,17,10,0,27,0,6,6,56,83,
01/14/2017,0,0,8,0,8,0,0,2,0,2,0,1,7,0,8,0,4,2,0,6,6,0,6,22,30,
01/15/2017,0,2,11,2,15,0,0,6,0,6,0,1,2,0,3,0,10,6,0,16,0,0,0,18,40,
01/16/2017,0,0,2,2,4,0,0,14,0,14,0,4,1,1,6,0,18,0,0,18,2,0,2,12,44,
01/17/2017,0,2,17,5,24,0,0,8,0,8,0,0,2,0,2,0,22,4,0,26,0,0,0,26,60,
01/18/2017,0,0,2,0,2,0,0,2,0,2,0,0,0,0,0,0,8,0,0,8,0,0,0,2,12,
01/19/2017,0,0,2,4,6,0,2,2,0,4,0,2,0,0,2,0,0,0,0,0,0,0,0,8,12,
01/20/2017,0,1,6,38,45,0,2,12,0,14,0,8,1,5,14,0,0,12,0,12,0,30,30,89,115,
