OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=CXO,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,0,1,16,1,18,0,0,0,0,0,0,2,33,0,35,0,0,0,1,1,26,0,26,79,80,
01-02-2017,0,0,26,0,26,0,0,0,0,0,0,1,77,0,78,0,0,2,0,2,66,0,66,170,172,
01-03-2017,0,0,34,4,38,0,0,0,0,0,0,1,84,0,85,0,5,2,0,7,76,0,76,199,206,
01-04-2017,0,3,25,2,30,0,0,0,0,0,0,0,50,8,58,0,0,0,0,0,118,0,118,206,206,
01-05-2017,0,2,40,3,45,0,0,0,0,0,0,2,14,5,21,0,0,2,0,2,6,12,18,84,86,
01-06-2017,0,4,16,2,22,0,0,0,0,0,0,1,10,9,20,0,0,0,0,0,0,0,0,42,42,
01-07-2017,0,1,28,0,29,0,0,0,0,0,0,1,50,6,57,0,1,4,0,5,52,6,58,144,149,
01-08-2017,0,0,27,0,27,0,0,0,0,0,0,1,87,1,89,0,0,0,0,0,84,0,84,200,200,
01-09-2017,0,2,35,3,40,0,0,0,0,0,0,3,55,9,67,0,0,2,0,2,18,14,32,139,141,
01-10-2017,0,1,34,5,40,0,0,0,0,0,0,3,37,16,56,0,2,4,0,6,28,8,36,132,138,
01-11-2017,0,0,33,0,33,0,0,0,0,0,0,3,44,16,63,0,0,1,0,1,22,16,38,134,135,
01-12-2017,0,0,30,5,35,0,0,0,0,0,0,1,91,7,99,0,0,6,0,6,94,6,100,234,240,
01/13/2017,0,0,28,2,30,0,0,0,0,0,0,2,42,0,44,0,1,0,0,1,122,0,122,196,197,
01/14/2017,0,0,19,0,19,0,0,0,0,0,0,0,45,0,45,0,0,1,0,1,118,0,118,182,183,
01/15/2017,0,3,10,0,13,0,0,0,0,0,0,3,12,0,15,0,2,0,1,3,0,0,0,28,31,
01/16/2017,0,3,19,0,22,0,0,0,0,0,0,0,28,0,28,0,0,0,0,0,40,0,40,90,90,
01/17/2017,0,1,13,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,
01/18/2017,0,4,19,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,
01/19/2017,0,0,29,6,35,0,0,0,0,0,0,0,10,5,15,0,0,0,0,0,2,12,14,64,64,
01/20/2017,0,2,50,2,54,0,0,0,0,0,0,6,72,2,80,0,1,2,0,3,26,14,40,174,177,
