OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=CXY,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,0,0,7,0,7,1,0,0,0,1,0,0,25,0,25,0,4,7,0,11,10,0,10,42,54,
01-02-2017,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,
01-03-2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
01-04-2017,0,1,16,0,17,0,0,0,0,0,0,0,17,0,17,0,1,5,1,7,6,0,6,40,47,
01-05-2017,0,1,12,0,13,1,0,0,0,1,0,0,15,6,21,0,1,2,1,4,10,0,10,44,49,
01-06-2017,0,0,9,1,10,0,0,0,0,0,0,0,22,7,29,0,1,7,1,9,12,0,12,51,60,
01-07-2017,0,0,2,1,3,2,0,0,0,2,0,0,31,0,31,0,0,2,0,2,26,0,26,60,64,
01-08-2017,0,0,9,0,9,0,0,0,0,0,0,0,8,0,8,0,2,2,0,4,14,0,14,31,35,
01-09-2017,0,1,8,0,9,1,1,1,0,3,0,0,27,0,27,0,0,5,1,6,10,0,10,46,55,
01-10-2017,0,2,9,0,11,1,0,1,0,2,0,0,7,0,7,0,0,4,0,4,6,0,6,24,30,
01-11-2017,0,3,6,2,11,1,0,0,0,1,0,0,32,4,36,0,1,3,1,5,16,12,28,75,81,
01-12-2017,0,2,16,4,22,0,3,0,0,3,0,0,16,4,20,0,0,8,4,12,10,0,10,52,67,
01/13/2017,0,0,10,1,11,0,0,0,0,0,0,0,26,4,30,0,0,2,0,2,26,0,26,67,69,
01/14/2017,0,0,1,0,1,0,1,0,0,1,0,0,8,0,8,0,0,0,0,0,0,0,0,9,10,
01/15/2017,0,0,7,0,7,0,0,1,0,1,0,0,45,0,45,0,2,7,0,9,24,0,24,76,86,
01/16/2017,0,2,9,0,11,0,1,0,0,1,0,0,14,0,14,0,1,3,0,4,14,0,14,39,44,
01/17/2017,0,5,8,0,13,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,4,0,4,19,19,
01/18/2017,0,4,9,2,15,0,1,0,0,1,0,0,10,0,10,0,1,3,0,4,16,0,16,41,46,
01/19/2017,0,4,12,3,19,0,1,0,0,1,0,0,29,5,34,0,1,3,0,4,16,34,50,103,108,
01/20/2017,0,0,7,0,7,0,0,1,0,1,0,0,0,2,2,0,0,2,0,2,0,0,0,9,12,
