OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=DAB,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,18,5,28,0,51,0,0,2,0,2,0,2,31,0,33,0,2,5,0,7,56,0,56,140,149,
01-02-2017,18,24,62,0,104,0,0,0,0,0,0,26,59,0,85,0,2,11,0,13,117,0,117,306,319,
01-03-2017,19,42,57,0,118,0,0,0,0,0,0,37,44,0,81,0,0,5,0,5,372,0,372,571,576,
01-04-2017,18,61,70,0,149,0,0,2,0,2,0,199,85,0,284,0,3,1,0,4,454,0,454,887,893,
01-05-2017,18,65,68,1,152,0,1,3,0,4,0,283,121,2,406,0,1,7,0,8,551,0,551,"1,109","1,121",
01-06-2017,17,72,55,8,152,0,0,0,0,0,0,243,77,5,325,0,2,11,0,13,495,0,495,972,985,
01-07-2017,10,45,18,0,73,0,0,0,0,0,0,2,6,1,9,0,1,3,0,4,0,0,0,82,86,
01-08-2017,15,17,43,4,79,0,0,2,0,2,0,29,42,2,73,0,6,7,0,13,30,0,30,182,197,
01-09-2017,18,102,40,0,160,0,0,1,0,1,0,349,74,0,423,0,6,4,0,10,233,0,233,816,827,
01-10-2017,16,122,34,0,172,0,0,0,0,0,0,331,75,0,406,0,1,5,0,6,624,0,624,"1,202","1,208",
01-11-2017,16,69,57,1,143,0,0,0,0,0,0,315,82,0,397,0,2,9,2,13,727,0,727,"1,267","1,280",
01-12-2017,18,73,51,2,144,0,0,0,0,0,0,341,88,0,429,0,0,14,0,14,574,0,574,"1,147","1,161",
01/13/2017,16,118,79,2,215,0,0,2,0,2,0,292,65,0,357,0,2,12,0,14,506,0,506,"1,078","1,094",
01/14/2017,12,84,53,0,149,0,0,0,0,0,0,306,67,0,373,0,8,9,0,17,532,0,532,"1,054","1,071",
01/15/2017,16,12,51,1,80,0,0,1,0,1,0,49,57,0,106,0,0,10,0,10,232,0,232,418,429,
01/16/2017,16,62,56,3,137,0,0,0,0,0,0,276,116,0,392,0,2,5,0,7,392,0,392,921,928,
01/17/2017,16,83,57,1,157,0,0,3,0,3,0,345,96,3,444,0,2,7,0,9,328,0,328,929,941,
01/18/2017,16,69,49,7,141,0,0,0,0,0,0,366,93,3,462,0,2,12,0,14,636,0,636,"1,239","1,253",
01/19/2017,15,116,58,3,192,0,4,1,0,5,0,147,48,0,195,0,3,3,0,6,317,0,317,704,715,
01/20/2017,17,82,55,3,157,0,0,1,0,1,0,358,87,13,458,0,2,4,1,7,461,0,461,"1,076","1,084",
