OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=DCA,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,500,104,0,0,604,0,0,1,0,1,0,2,0,4,6,0,28,21,4,53,0,0,0,610,664,
01-02-2017,590,131,3,0,724,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,724,727,
01-03-2017,610,139,10,0,759,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,759,760,
01-04-2017,601,159,0,0,760,0,0,0,0,0,0,4,0,10,14,0,28,21,33,82,0,0,0,774,856,
01-05-2017,609,149,13,4,775,0,0,0,0,0,0,0,6,10,16,0,21,39,26,86,0,0,0,791,877,
01-06-2017,596,155,10,0,761,0,0,0,0,0,0,0,3,9,12,0,36,41,26,103,0,0,0,773,876,
01-07-2017,372,74,5,0,451,1,0,0,0,1,0,0,0,4,4,0,7,7,12,26,0,0,0,455,482,
01-08-2017,580,131,1,0,712,0,0,0,0,0,0,0,0,5,5,0,15,4,18,37,0,0,0,717,754,
01-09-2017,722,156,4,2,884,0,0,0,0,0,0,0,0,7,7,0,18,19,24,61,0,0,0,891,952,
01-10-2017,690,144,9,2,845,2,0,0,0,2,0,0,3,6,9,0,14,29,21,64,0,0,0,854,920,
01-11-2017,708,152,7,0,867,0,0,0,0,0,0,1,2,7,10,0,26,27,17,70,0,0,0,877,947,
01-12-2017,718,157,10,2,887,0,0,0,0,0,0,1,1,11,13,0,41,19,72,132,0,0,0,900,"1,032",
01/13/2017,719,149,10,0,878,1,1,0,0,2,0,1,3,6,10,0,40,42,37,119,0,0,0,888,"1,009",
01/14/2017,400,80,4,0,484,1,0,0,0,1,0,0,0,0,0,0,4,2,0,6,0,0,0,484,491,
01/15/2017,528,101,0,1,630,1,0,1,2,4,0,0,0,7,7,0,14,44,29,87,0,0,0,637,728,
01/16/2017,710,149,8,1,868,0,0,1,0,1,0,0,1,4,5,0,26,46,13,85,0,0,0,873,959,
01/17/2017,711,154,12,3,880,1,1,1,0,3,0,0,0,1,1,0,8,2,2,12,0,0,0,881,896,
01/18/2017,724,156,19,2,901,1,0,0,0,1,0,1,5,8,14,0,33,38,42,113,0,0,0,915,"1,029",
01/19/2017,719,156,17,1,893,0,0,3,0,3,0,1,3,1,5,0,31,48,26,105,0,0,0,898,"1,006",
01/20/2017,720,156,5,0,881,0,0,0,0,0,0,1,0,12,13,0,17,29,4,50,0,0,0,894,944,
