OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=DFW,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,"1,292",345,12,0,"1,649",6,0,1,0,7,0,0,2,0,2,0,1,3,0,4,0,0,0,"1,651","1,662",
01-02-2017,"1,444",346,21,0,"1,811",5,2,0,0,7,0,0,0,0,0,0,2,2,0,4,0,0,0,"1,811","1,822",
01-03-2017,"1,441",391,14,0,"1,846",1,0,0,0,1,0,1,0,0,1,0,3,4,0,7,0,0,0,"1,847","1,855",
01-04-2017,"1,457",389,10,0,"1,856",4,0,0,0,4,0,1,2,0,3,0,7,7,2,16,0,0,0,"1,859","1,879",
01-05-2017,"1,460",371,18,0,"1,849",1,0,0,0,1,0,7,7,2,16,0,4,2,0,6,0,0,0,"1,865","1,872",
01-06-2017,"1,385",325,8,0,"1,718",3,1,1,0,5,0,1,0,0,1,0,2,4,0,6,0,0,0,"1,719","1,730",
01-07-2017,"1,283",328,8,0,"1,619",4,0,1,1,6,0,0,3,0,3,0,1,7,0,8,0,0,0,"1,622","1,636",
01-08-2017,"1,374",360,15,0,"1,749",9,2,2,0,13,0,0,6,0,6,0,4,8,0,12,0,0,0,"1,755","1,780",
01-09-2017,"1,466",331,16,0,"1,813",11,2,2,1,16,0,1,3,0,4,0,4,6,0,10,0,0,0,"1,817","1,843",
01-10-2017,"1,400",288,20,0,"1,708",11,4,4,1,20,0,2,5,0,7,0,6,7,1,14,0,0,0,"1,715","1,749",
01-11-2017,"1,463",297,21,0,"1,781",7,0,2,0,9,0,5,2,0,7,0,3,9,0,12,0,0,0,"1,788","1,809",
01-12-2017,"1,515",334,17,0,"1,866",9,1,0,0,10,0,1,0,0,1,0,7,5,1,13,0,0,0,"1,867","1,890",
01/13/2017,"1,501",324,21,0,"1,846",20,1,1,0,22,0,0,0,0,0,0,7,0,0,7,0,0,0,"1,846","1,875",
01/14/2017,"1,145",220,13,0,"1,378",12,1,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,378","1,393",
01/15/2017,"1,122",192,10,0,"1,324",4,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,324","1,330",
01/16/2017,"1,516",324,22,0,"1,862",3,2,0,0,5,0,0,0,0,0,0,1,0,0,1,0,0,0,"1,862","1,868",
01/17/2017,"1,408",277,20,0,"1,705",0,0,0,0,0,0,3,0,0,3,0,5,6,0,11,0,0,0,"1,708","1,719",
