OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=DHN,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,3,2,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,
01-02-2017,3,0,10,0,13,0,0,2,0,2,0,0,1,0,1,0,4,0,0,4,0,0,0,14,20,
01-03-2017,7,2,17,65,91,0,0,0,0,0,0,0,20,9,29,0,0,0,0,0,16,66,82,202,202,
01-04-2017,7,2,19,90,118,0,0,0,0,0,0,0,6,6,12,0,0,0,0,0,16,78,94,224,224,
01-05-2017,7,8,17,75,107,0,0,0,0,0,0,0,41,15,56,0,0,0,0,0,28,112,140,303,303,
01-06-2017,5,2,5,29,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,
01-07-2017,6,2,1,0,9,0,0,0,0,0,0,0,4,0,4,0,0,0,2,2,6,0,6,19,21,
01-08-2017,5,2,16,1,24,0,0,0,0,0,0,1,27,1,29,0,4,0,0,4,10,0,10,63,67,
01-09-2017,9,4,21,83,117,0,0,0,0,0,0,1,20,15,36,0,0,0,0,0,28,110,138,291,291,
01-10-2017,8,3,33,81,125,0,0,0,0,0,0,2,26,15,43,0,2,0,2,4,42,128,170,338,342,
01-11-2017,6,4,20,79,109,0,0,0,0,0,0,0,22,15,37,0,0,4,0,4,6,94,100,246,250,
01-12-2017,6,4,22,47,79,0,0,0,0,0,0,0,36,20,56,0,0,2,0,2,70,122,192,327,329,
01/13/2017,7,8,40,70,125,0,0,0,0,0,0,0,23,17,40,0,0,2,0,2,38,86,124,289,291,
01/14/2017,3,0,9,2,14,0,0,0,2,2,0,0,26,0,26,0,0,12,0,12,20,0,20,60,74,
01/15/2017,2,0,10,2,14,0,0,0,0,0,0,0,16,6,22,0,0,8,1,9,34,0,34,70,79,
01/16/2017,7,7,24,1,39,0,0,0,0,0,0,0,26,0,26,0,4,2,0,6,8,0,8,73,79,
01/17/2017,9,5,19,46,79,0,0,0,0,0,0,0,8,4,12,0,0,0,0,0,12,18,30,121,121,
01/18/2017,7,4,27,19,57,0,0,0,0,0,0,0,7,0,7,0,4,0,0,4,18,0,18,82,86,
01/19/2017,8,2,24,33,67,0,0,0,0,0,0,1,10,16,27,0,0,0,0,0,34,140,174,268,268,
01/20/2017,5,6,16,71,98,0,0,0,0,0,0,0,1,12,13,0,0,0,0,0,0,78,78,189,189,
