OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=DSM,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,74,13,19,0,106,1,0,0,0,1,0,6,19,0,25,0,11,7,0,18,7,0,7,138,157,
01-02-2017,83,18,13,0,114,0,0,1,0,1,0,0,1,0,1,0,1,0,1,2,0,0,0,115,118,
01-03-2017,96,22,29,0,147,0,0,4,0,4,0,2,5,0,7,0,10,10,0,20,0,0,0,154,178,
01-04-2017,89,25,26,4,144,3,0,0,0,3,0,2,14,0,16,0,5,3,0,8,1,0,1,161,172,
01-05-2017,98,19,49,2,168,0,0,8,0,8,0,1,19,5,25,0,9,10,0,19,16,0,16,209,236,
01-06-2017,83,20,39,5,147,0,0,3,0,3,0,3,12,3,18,0,7,11,0,18,6,6,12,177,198,
01-07-2017,60,18,11,7,96,0,0,2,0,2,0,1,31,2,34,0,14,10,0,24,0,0,0,130,156,
01-08-2017,89,27,21,4,141,0,1,0,0,1,0,2,18,1,21,0,10,3,0,13,16,0,16,178,192,
01-09-2017,83,20,41,1,145,3,0,1,0,4,0,0,13,0,13,0,2,4,0,6,2,0,2,160,170,
01-10-2017,92,19,50,18,179,0,0,3,0,3,0,3,5,0,8,0,6,6,0,12,2,0,2,189,204,
01-11-2017,94,27,57,0,178,0,0,5,0,5,0,2,20,0,22,0,8,7,0,15,20,0,20,220,240,
01-12-2017,98,34,41,4,177,0,0,8,0,8,0,5,27,5,37,0,8,19,0,27,46,8,54,268,303,
01/13/2017,87,21,38,2,148,0,0,0,0,0,0,3,36,0,39,0,8,16,0,24,16,0,16,203,227,
01/14/2017,57,10,30,0,97,1,0,0,0,1,0,3,35,0,38,0,5,18,0,23,11,0,11,146,170,
01/15/2017,82,15,9,0,106,1,0,1,0,2,0,0,14,0,14,0,2,5,0,7,23,0,23,143,152,
01/16/2017,63,18,13,1,95,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,95,97,
01/17/2017,103,26,29,9,167,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,167,175,
01/18/2017,92,28,75,9,204,3,0,3,0,6,0,0,25,9,34,0,2,9,1,12,6,22,28,266,284,
01/19/2017,103,26,44,10,183,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,183,186,
01/20/2017,88,19,22,4,133,1,0,12,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,133,148,
