OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=DXR,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,0,1,2,0,3,0,0,0,0,0,0,8,64,0,72,0,0,8,0,8,22,0,22,97,105,
01-02-2017,0,3,7,0,10,0,0,0,0,0,0,1,18,0,19,0,0,0,0,0,84,0,84,113,113,
01-03-2017,0,5,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,
01-04-2017,0,6,10,0,16,0,0,0,0,0,0,1,41,0,42,0,0,2,2,4,57,0,57,115,119,
01-05-2017,0,0,4,0,4,0,0,0,0,0,0,3,59,0,62,0,0,6,12,18,66,0,66,132,150,
01-06-2017,0,0,7,0,7,0,0,0,0,0,0,6,30,0,36,0,0,8,0,8,26,0,26,69,77,
01-07-2017,0,1,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,12,0,12,15,15,
01-08-2017,0,1,4,0,5,0,0,0,0,0,0,5,46,0,51,0,0,2,0,2,2,0,2,58,60,
01-09-2017,0,0,5,0,5,0,0,0,0,0,0,0,37,0,37,0,0,6,2,8,78,0,78,120,128,
01-10-2017,0,0,2,0,2,0,0,0,0,0,0,2,48,0,50,0,0,6,0,6,82,0,82,134,140,
01-11-2017,0,0,3,0,3,0,0,0,0,0,0,3,115,0,118,0,0,4,0,4,130,0,130,251,255,
01-12-2017,0,0,9,0,9,0,0,0,0,0,0,0,15,0,15,0,0,2,0,2,4,0,4,28,30,
01/13/2017,0,0,3,0,3,0,0,0,0,0,0,8,69,0,77,0,0,8,0,8,32,0,32,112,120,
01/14/2017,0,0,4,0,4,0,0,0,0,0,0,1,63,0,64,0,0,6,0,6,90,0,90,158,164,
01/15/2017,0,0,1,0,1,0,0,0,0,0,0,5,98,0,103,0,0,2,2,4,68,0,68,172,176,
01/16/2017,0,1,4,0,5,0,0,0,0,0,0,7,104,0,111,0,0,8,0,8,130,0,130,246,254,
01/17/2017,0,6,0,0,6,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,9,9,
01/18/2017,0,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,6,
01/19/2017,0,1,6,0,7,0,0,0,0,0,0,7,52,2,61,0,0,10,0,10,104,2,106,174,184,
01/20/2017,0,2,4,0,6,0,0,0,0,0,0,1,20,0,21,0,0,0,0,0,110,0,110,137,137,
