OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=ECP,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,17,12,17,4,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,
01-02-2017,15,21,36,1,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,73,
01-03-2017,20,30,60,35,145,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,32,73,105,257,257,
01-04-2017,14,20,18,20,72,0,0,0,0,0,0,0,7,3,10,0,0,0,0,0,4,18,22,104,104,
01-05-2017,13,9,21,30,73,0,0,0,0,0,0,0,25,1,26,0,0,0,0,0,30,48,78,177,177,
01-06-2017,20,4,17,49,90,0,0,0,0,0,0,1,13,0,14,0,0,0,0,0,16,66,82,186,186,
01-07-2017,14,5,15,0,34,0,0,0,0,0,0,0,7,0,7,0,0,0,4,4,10,0,10,51,55,
01-08-2017,13,4,20,3,40,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,4,4,50,50,
01-09-2017,16,12,30,18,76,0,0,0,0,0,0,0,17,2,19,0,0,0,0,0,22,32,54,149,149,
01-10-2017,17,5,29,46,97,0,0,0,0,0,0,0,21,0,21,0,0,2,0,2,16,56,72,190,192,
01-11-2017,16,8,17,61,102,0,0,0,0,0,0,0,20,0,20,0,0,2,8,10,34,46,80,202,212,
01-12-2017,16,23,49,35,123,0,0,0,0,0,0,0,31,1,32,0,0,0,0,0,38,60,98,253,253,
01/13/2017,16,16,38,17,87,0,0,0,2,2,0,0,34,0,34,0,0,2,0,2,34,34,68,189,193,
01/14/2017,13,9,9,0,31,0,0,0,0,0,0,2,32,0,34,0,2,0,0,2,52,2,54,119,121,
01/15/2017,12,16,28,2,58,0,0,0,0,0,0,0,36,0,36,0,0,4,4,8,70,2,72,166,174,
01/16/2017,16,17,55,2,90,0,0,0,0,0,0,0,34,0,34,0,0,0,0,0,12,0,12,136,136,
01/17/2017,16,13,19,49,97,0,0,0,0,0,0,0,16,3,19,0,0,0,0,0,0,54,54,170,170,
01/18/2017,17,10,37,43,107,0,0,0,0,0,0,0,13,7,20,0,0,0,0,0,12,34,46,173,173,
01/19/2017,17,6,30,37,90,0,0,0,0,0,0,0,16,2,18,0,0,2,0,2,0,12,12,120,122,
01/20/2017,17,11,24,43,95,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,8,8,16,121,121,
