OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=EGE,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,29,100,122,0,251,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,2,0,2,265,265,
01-02-2017,29,129,148,0,306,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,309,309,
01-03-2017,30,51,103,0,184,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,185,185,
01-04-2017,2,6,15,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,
01-05-2017,4,5,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,
01-06-2017,34,69,78,0,181,0,0,0,0,0,0,0,15,1,16,0,0,0,0,0,20,0,20,217,217,
01-07-2017,31,39,35,0,105,0,0,0,0,0,0,1,10,5,16,0,0,2,2,4,14,0,14,135,139,
01-08-2017,19,41,31,0,91,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,10,0,10,103,103,
01-09-2017,5,19,30,0,54,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,16,0,16,73,73,
01-10-2017,20,25,34,0,79,0,0,0,0,0,0,0,7,24,31,0,0,0,0,0,12,54,66,176,176,
01-11-2017,24,9,24,0,57,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,71,71,
01-12-2017,23,44,42,0,109,0,0,0,0,0,0,0,2,4,6,0,0,0,0,0,4,0,4,119,119,
01/13/2017,26,40,52,0,118,0,0,0,0,0,0,0,8,28,36,0,0,0,0,0,4,0,4,158,158,
01/14/2017,30,40,25,0,95,0,0,0,0,0,0,0,14,18,32,0,0,0,0,0,40,0,40,167,167,
01/15/2017,24,27,29,0,80,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,56,0,56,149,149,
01/16/2017,24,54,46,0,124,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,12,0,12,145,145,
01/17/2017,21,20,22,0,63,0,0,0,0,0,0,0,17,0,17,0,0,6,0,6,14,0,14,94,100,
01/18/2017,26,21,26,0,73,0,0,0,0,0,0,0,22,7,29,0,0,0,0,0,50,8,58,160,160,
01/19/2017,22,23,25,0,70,0,0,0,0,0,0,0,11,8,19,0,0,0,0,0,30,18,48,137,137,
01/20/2017,26,21,25,0,72,0,0,0,0,0,0,0,7,2,9,0,0,0,0,0,0,0,0,81,81,
