OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=ELM,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,3,9,9,0,21,0,0,0,0,0,0,0,6,0,6,0,0,1,0,1,28,0,28,55,56,
01-02-2017,7,18,10,0,35,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,14,0,14,49,51,
01-03-2017,5,23,9,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,
01-04-2017,4,17,14,0,35,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,4,0,4,42,42,
01-05-2017,4,17,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,
01-06-2017,3,16,15,0,34,0,0,3,0,3,0,0,5,0,5,0,2,2,0,4,6,0,6,45,52,
01-07-2017,8,6,6,0,20,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,46,0,46,74,74,
01-08-2017,12,4,2,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,4,22,23,
01-09-2017,13,10,8,14,45,0,0,0,0,0,0,0,4,7,11,0,0,0,1,1,6,48,54,110,111,
01-10-2017,8,12,19,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,
01-11-2017,13,14,23,0,50,0,0,1,0,1,0,0,4,2,6,0,1,0,0,1,20,0,20,76,78,
01-12-2017,12,14,24,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,51,
01/13/2017,16,15,26,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,77,77,
01/14/2017,10,10,7,0,27,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,6,0,6,40,40,
01/15/2017,9,7,3,0,19,0,0,1,0,1,0,0,2,0,2,0,1,2,0,3,19,0,19,40,44,
01/16/2017,15,10,21,0,46,0,0,1,0,1,0,0,14,0,14,0,0,1,1,2,11,0,11,71,74,
01/17/2017,15,19,26,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,
01/18/2017,13,15,10,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,
01/19/2017,16,13,11,0,40,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,41,41,
01/20/2017,15,17,21,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,53,
