OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=ELP,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,70,34,5,2,111,4,0,1,0,5,0,3,10,0,13,0,3,1,0,4,16,0,16,140,149,
01-02-2017,88,42,20,0,150,11,0,4,2,17,0,6,39,0,45,0,0,1,2,3,26,5,31,226,246,
01-03-2017,93,39,18,5,155,7,0,0,11,18,0,15,55,8,78,0,2,4,40,46,26,89,115,348,412,
01-04-2017,119,39,20,3,181,17,0,0,11,28,0,6,35,2,43,0,0,1,51,52,16,200,216,440,520,
01-05-2017,105,53,14,14,186,7,0,2,13,22,0,5,40,4,49,0,4,1,55,60,112,155,267,502,584,
01-06-2017,103,45,16,7,171,6,0,0,9,15,0,8,41,2,51,0,1,2,21,24,36,126,162,384,423,
01-07-2017,71,41,23,3,138,1,0,1,4,6,0,12,77,3,92,0,1,1,19,21,28,44,72,302,329,
01-08-2017,74,30,20,2,126,9,0,0,3,12,0,5,68,6,79,0,1,4,3,8,22,0,22,227,247,
01-09-2017,86,27,24,34,171,10,0,0,8,18,0,12,48,7,67,0,4,0,47,51,28,181,209,447,516,
01-10-2017,90,37,31,6,164,7,0,1,11,19,0,28,42,3,73,0,5,2,54,61,0,156,156,393,473,
01-11-2017,94,39,31,6,170,5,0,0,14,19,0,24,50,4,78,0,7,4,48,59,12,179,191,439,517,
01-12-2017,94,30,24,1,149,9,0,0,11,20,0,18,60,13,91,0,2,2,35,39,100,85,185,425,484,
01/13/2017,99,34,15,19,167,6,0,0,6,12,0,8,57,6,71,0,0,6,5,11,44,153,197,435,458,
01/14/2017,66,16,10,3,95,0,0,0,4,4,0,0,40,0,40,0,0,1,0,1,42,0,42,177,182,
01/15/2017,66,25,29,4,124,10,2,1,0,13,0,1,7,0,8,0,0,0,0,0,0,0,0,132,145,
01/16/2017,87,30,24,2,143,4,0,2,6,12,0,8,55,3,66,0,2,10,6,18,76,0,76,285,315,
01/17/2017,91,39,24,2,156,2,0,0,12,14,0,8,30,4,42,0,2,3,34,39,20,117,137,335,388,
01/18/2017,93,28,24,11,156,14,0,0,6,20,0,6,50,8,64,0,0,1,70,71,52,258,310,530,621,
01/19/2017,94,30,31,10,165,13,0,0,1,14,0,15,42,4,61,0,3,5,42,50,44,141,185,411,475,
01/20/2017,91,31,17,2,141,22,0,0,4,26,0,4,39,3,46,0,1,4,16,21,40,29,69,256,303,
