OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=ENW,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,0,8,11,0,19,0,0,0,0,0,0,0,67,0,67,0,0,16,0,16,48,0,48,134,150,
01-02-2017,0,13,1,0,14,0,0,2,0,2,0,0,11,0,11,0,0,0,0,0,18,0,18,43,45,
01-03-2017,0,11,0,0,11,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,64,0,64,78,78,
01-04-2017,0,8,3,0,11,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,60,0,60,82,82,
01-05-2017,0,10,4,0,14,0,0,0,0,0,0,0,32,0,32,0,0,0,0,0,114,0,114,160,160,
01-06-2017,0,7,7,0,14,0,0,8,0,8,0,0,31,0,31,0,0,8,0,8,108,0,108,153,169,
01-07-2017,0,6,13,0,19,0,0,0,0,0,0,0,61,0,61,0,0,0,0,0,106,0,106,186,186,
01-08-2017,0,11,9,0,20,0,0,2,0,2,0,0,54,0,54,0,0,4,0,4,46,0,46,120,126,
01-09-2017,0,5,7,0,12,0,0,0,0,0,0,0,49,0,49,0,0,0,0,0,32,0,32,93,93,
01-10-2017,0,4,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,
01-11-2017,0,9,8,0,17,0,0,0,0,0,0,0,27,0,27,0,4,0,0,4,48,0,48,92,96,
01-12-2017,0,12,3,0,15,0,0,0,0,0,0,0,17,0,17,0,0,0,0,0,100,0,100,132,132,
01/13/2017,0,7,12,0,19,0,2,0,0,2,0,0,46,0,46,0,0,1,0,1,128,0,128,193,196,
01/14/2017,0,5,2,0,7,0,0,0,0,0,0,0,67,0,67,0,0,0,0,0,154,0,154,228,228,
01/15/2017,0,4,7,0,11,0,0,0,0,0,0,0,56,0,56,0,0,8,0,8,66,0,66,133,141,
01/16/2017,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,
01/17/2017,0,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,
01/18/2017,0,11,8,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,48,67,67,
01/19/2017,0,2,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,
01/20/2017,0,4,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,32,37,37,
