OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=ESN,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,0,7,1,0,8,0,0,0,0,0,0,2,51,0,53,0,0,2,0,2,32,4,36,97,99,
01-02-2017,0,5,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,
01-03-2017,0,7,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,
01-04-2017,0,5,8,0,13,0,0,0,0,0,0,8,48,0,56,0,0,2,0,2,92,0,92,161,163,
01-05-2017,0,5,12,0,17,0,0,1,0,1,0,7,23,0,30,0,0,8,0,8,26,0,26,73,82,
01-06-2017,0,7,9,0,16,0,0,0,0,0,0,0,31,3,34,0,0,0,0,0,88,0,88,138,138,
01-07-2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
01-08-2017,0,1,2,0,3,0,0,0,0,0,0,0,2,0,2,0,2,2,0,4,0,0,0,5,9,
01-09-2017,0,1,14,0,15,0,0,0,0,0,0,0,14,0,14,0,0,4,0,4,34,0,34,63,67,
01-10-2017,0,0,4,0,4,0,0,0,0,0,0,2,12,2,16,0,0,0,0,0,66,0,66,86,86,
01-11-2017,0,1,9,0,10,0,0,1,0,1,0,0,36,6,42,0,0,5,0,5,78,0,78,130,136,
01-12-2017,0,0,12,0,12,0,0,0,0,0,0,4,29,5,38,0,0,0,6,6,20,4,24,74,80,
01/13/2017,0,2,11,0,13,0,0,0,0,0,0,9,57,0,66,0,0,2,0,2,120,0,120,199,201,
01/14/2017,0,1,1,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,8,0,8,12,12,
01/15/2017,0,2,16,0,18,0,0,0,0,0,0,1,67,5,73,0,0,2,0,2,96,0,96,187,189,
01/16/2017,0,2,7,0,9,0,0,0,0,0,0,3,62,2,67,0,0,6,0,6,116,0,116,192,198,
01/17/2017,0,1,7,0,8,0,0,4,0,4,0,0,0,0,0,0,0,2,0,2,0,0,0,8,14,
01/18/2017,0,9,9,0,18,0,0,0,0,0,0,7,36,4,47,0,2,6,0,8,64,0,64,129,137,
01/19/2017,0,6,5,0,11,0,0,0,0,0,0,19,45,2,66,0,2,6,0,8,130,0,130,207,215,
01/20/2017,0,1,4,0,5,0,0,0,0,0,0,2,3,2,7,0,0,0,0,0,0,0,0,12,12,
