OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=EVB,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,0,0,18,0,18,0,0,0,0,0,0,0,92,0,92,0,0,3,0,3,64,0,64,174,177,
01-02-2017,0,14,18,0,32,0,0,0,0,0,0,0,100,0,100,0,0,3,0,3,358,0,358,490,493,
01-03-2017,0,12,29,0,41,0,0,0,0,0,0,0,55,0,55,0,0,1,0,1,110,0,110,206,207,
01-04-2017,0,11,25,0,36,0,0,0,0,0,0,0,114,0,114,0,0,2,1,3,368,0,368,518,521,
01-05-2017,0,5,21,0,26,0,0,0,0,0,0,1,159,0,160,0,0,7,0,7,518,0,518,704,711,
01-06-2017,0,6,13,0,19,0,0,0,0,0,0,0,119,0,119,0,0,11,0,11,326,0,326,464,475,
01-07-2017,0,5,10,0,15,0,0,0,0,0,0,1,7,0,8,0,0,2,0,2,18,0,18,41,43,
01-08-2017,0,0,11,0,11,0,0,0,0,0,0,0,80,0,80,0,0,3,1,4,54,0,54,145,149,
01-09-2017,0,0,13,0,13,0,0,0,0,0,0,0,143,0,143,0,0,6,0,6,308,0,308,464,470,
01-10-2017,0,6,27,0,33,0,0,0,0,0,0,0,134,0,134,0,0,4,0,4,336,0,336,503,507,
01-11-2017,0,1,17,0,18,0,0,0,0,0,0,0,140,0,140,0,0,5,0,5,562,0,562,720,725,
01-12-2017,0,1,20,0,21,0,0,0,0,0,0,0,173,0,173,0,0,10,0,10,404,0,404,598,608,
01/13/2017,0,4,17,0,21,0,0,0,0,0,0,0,86,0,86,0,0,4,0,4,362,0,362,469,473,
01/14/2017,0,2,13,0,15,0,0,0,0,0,0,0,162,0,162,0,0,2,1,3,410,0,410,587,590,
01/15/2017,0,1,19,0,20,0,0,0,0,0,0,0,125,0,125,0,0,8,0,8,108,0,108,253,261,
01/16/2017,0,3,27,0,30,0,0,0,0,0,0,0,179,0,179,0,0,2,0,2,376,0,376,585,587,
01/17/2017,0,2,25,0,27,0,0,0,0,0,0,0,186,0,186,0,0,5,0,5,552,0,552,765,770,
01/18/2017,0,2,14,0,16,0,0,0,0,0,0,0,176,0,176,0,0,2,0,2,424,0,424,616,618,
01/19/2017,0,3,20,0,23,0,0,0,0,0,0,0,104,0,104,0,0,2,0,2,290,0,290,417,419,
01/20/2017,0,2,21,0,23,0,0,0,0,0,0,0,132,0,132,0,0,5,5,10,388,0,388,543,553,
