OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=FAR,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,15,24,16,0,55,0,0,0,0,0,0,0,10,0,10,0,0,4,0,4,14,0,14,79,83
01/02/2017,15,31,28,0,74,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,74,75
01/03/2017,21,47,19,0,87,0,1,0,0,1,0,0,6,0,6,0,0,1,0,1,4,0,4,97,99
01/04/2017,19,59,33,0,111,1,0,0,0,1,0,2,16,0,18,0,0,4,0,4,48,0,48,177,182
01/05/2017,15,65,27,0,107,0,0,0,0,0,0,2,22,1,25,0,0,0,0,0,90,0,90,222,222
01/06/2017,20,78,23,0,121,0,0,0,0,0,0,4,25,0,29,0,1,2,0,3,34,0,34,184,187
01/07/2017,18,45,22,0,85,1,0,0,0,1,0,14,26,0,40,0,0,3,0,3,106,0,106,231,235
01/08/2017,21,24,18,4,67,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,69,69
01/09/2017,18,38,10,0,66,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,14,0,14,85,85
01/10/2017,18,56,28,0,102,0,0,0,0,0,0,1,1,0,2,0,0,1,0,1,0,0,0,104,105
01/11/2017,24,66,20,0,110,1,1,0,0,2,0,15,9,0,24,0,0,2,0,2,72,0,72,206,210
01/12/2017,22,51,45,1,119,0,0,0,0,0,0,4,6,0,10,0,0,0,0,0,12,0,12,141,141
01/13/2017,22,60,33,0,115,1,1,0,0,2,0,17,14,1,32,0,0,1,0,1,34,0,34,181,184
01/14/2017,17,35,14,1,67,0,0,0,0,0,0,15,36,4,55,0,0,8,1,9,46,0,46,168,177
01/15/2017,13,32,24,0,69,0,0,0,0,0,0,4,22,1,27,0,0,5,0,5,38,0,38,134,139
01/16/2017,19,57,36,0,112,1,1,0,0,2,0,6,32,1,39,0,1,4,0,5,98,0,98,249,256
01/17/2017,18,67,39,2,126,1,0,0,0,1,0,18,42,1,61,0,1,1,0,2,60,0,60,247,250
01/18/2017,22,75,29,0,126,0,1,0,0,1,0,5,46,3,54,0,0,5,1,6,118,0,118,298,305
01/19/2017,19,58,47,0,124,1,1,1,0,3,0,5,23,0,28,0,0,0,0,0,86,0,86,238,241
01/20/2017,23,65,16,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,104
01/21/2017,12,40,16,0,68,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,68,69
