OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=FAT,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,41,25,11,0,77,0,0,0,0,0,0,9,36,0,45,0,1,3,0,4,20,0,20,142,146
01/02/2017,43,36,31,0,110,0,0,0,0,0,0,26,59,0,85,0,8,7,0,15,40,0,40,235,250
01/03/2017,38,26,14,10,88,0,0,0,0,0,0,19,56,3,78,0,3,11,1,15,90,16,106,272,287
01/04/2017,46,25,30,30,131,1,0,1,0,2,0,27,46,6,79,0,7,22,1,30,70,30,100,310,342
01/05/2017,43,20,37,32,132,0,0,0,0,0,0,18,52,3,73,0,7,13,0,20,22,28,50,255,275
01/06/2017,43,23,27,8,101,0,0,0,0,0,0,22,110,8,140,0,11,23,0,34,28,14,42,283,317
01/07/2017,40,21,12,0,73,2,0,0,0,2,0,9,11,0,20,0,5,3,0,8,2,0,2,95,105
01/08/2017,42,22,14,2,80,0,0,0,0,0,0,13,17,1,31,0,3,4,0,7,0,0,0,111,118
01/09/2017,45,26,33,3,107,0,0,0,0,0,0,5,60,5,70,0,5,3,2,10,94,0,94,271,281
01/10/2017,38,25,37,2,102,1,0,0,0,1,0,4,51,1,56,0,0,8,0,8,26,0,26,184,193
01/11/2017,46,28,52,11,137,4,0,0,0,4,0,7,68,8,83,0,1,6,0,7,86,26,112,332,343
01/12/2017,44,32,42,2,120,0,0,0,0,0,0,0,26,2,28,0,0,9,0,9,10,0,10,158,167
01/13/2017,48,29,48,0,125,1,0,0,0,1,0,10,41,5,56,0,3,5,1,9,42,0,42,223,233
01/14/2017,39,20,43,0,102,0,1,1,0,2,0,23,32,1,56,0,5,12,0,17,70,0,70,228,247
01/15/2017,43,17,34,0,94,0,0,0,0,0,0,23,26,2,51,0,8,8,0,16,37,0,37,182,198
01/16/2017,42,27,52,0,121,0,0,0,0,0,0,8,69,4,81,0,2,13,0,15,136,0,136,338,353
01/17/2017,44,29,30,2,105,0,0,0,0,0,0,9,109,4,122,0,0,11,0,11,68,0,68,295,306
01/18/2017,40,25,32,3,100,0,0,1,0,1,0,7,64,9,80,0,2,11,3,16,62,48,110,290,307
01/19/2017,46,30,46,4,126,0,0,0,0,0,0,13,63,5,81,0,3,15,1,19,74,0,74,281,300
01/20/2017,46,23,23,11,103,0,1,0,0,1,0,21,27,4,52,0,7,6,0,13,24,30,54,209,223
01/21/2017,41,22,16,0,79,1,0,0,0,1,0,30,47,0,77,0,12,7,0,19,70,0,70,226,246
