OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=FLL,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,705,75,63,0,843,0,0,0,0,0,0,16,46,0,62,0,0,35,0,35,0,0,0,905,940
01/02/2017,726,100,149,1,976,0,0,0,0,0,2,26,73,1,102,0,1,41,0,42,0,0,0,1078,1120
01/03/2017,729,88,101,1,919,1,0,0,0,1,0,11,38,2,51,0,0,34,0,34,0,0,0,970,1005
01/04/2017,702,89,74,3,868,0,0,0,0,0,0,13,29,0,42,0,1,34,0,35,0,0,0,910,945
01/05/2017,705,84,68,1,858,0,0,2,0,2,0,4,62,0,66,0,0,59,0,59,0,0,0,924,985
01/06/2017,359,48,43,0,450,0,0,0,0,0,0,9,30,1,40,0,1,60,0,61,0,0,0,490,551
01/07/2017,488,66,60,0,614,0,0,0,0,0,0,6,20,2,28,0,1,23,1,25,0,0,0,642,667
01/08/2017,727,91,80,0,898,0,1,0,0,1,2,3,21,0,26,0,0,27,0,27,0,0,0,924,952
01/09/2017,720,79,73,0,872,0,0,0,0,0,0,5,23,0,28,0,0,40,0,40,0,0,0,900,940
01/10/2017,677,84,73,0,834,0,1,1,1,3,0,4,24,0,28,0,0,29,0,29,0,0,0,862,894
01/11/2017,668,87,73,0,828,0,0,1,0,1,0,4,33,0,37,0,1,44,1,46,0,0,0,865,912
01/12/2017,711,81,63,0,855,0,0,1,0,1,0,12,28,0,40,0,0,26,4,30,0,0,0,895,926
01/13/2017,714,97,90,0,901,0,1,0,1,2,0,11,32,0,43,0,0,54,0,54,0,0,0,944,1000
01/14/2017,701,67,49,0,817,1,0,0,0,1,0,2,17,0,19,0,0,39,0,39,0,0,0,836,876
01/15/2017,704,73,60,2,839,0,0,0,0,0,0,6,20,0,26,0,0,40,1,41,0,0,0,865,906
01/16/2017,690,94,76,0,860,0,0,0,0,0,0,10,25,0,35,0,0,46,0,46,0,0,0,895,941
01/17/2017,661,94,47,2,804,0,0,0,1,1,0,7,33,2,42,0,0,39,10,49,0,0,0,846,896
01/18/2017,674,73,83,0,830,0,1,0,0,1,0,9,44,0,53,0,2,52,2,56,0,0,0,883,940
01/19/2017,702,77,82,1,862,0,0,0,0,0,0,10,47,2,59,0,0,43,1,44,0,0,0,921,965
01/20/2017,716,100,80,0,896,0,1,0,0,1,0,8,22,0,30,0,0,64,2,66,0,0,0,926,993
01/21/2017,715,79,64,0,858,0,0,0,0,0,0,0,18,0,18,0,0,57,1,58,0,0,0,876,934
