OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=FNT,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,10,11,23,0,44,0,0,0,0,0,0,0,45,0,45,0,0,6,0,6,34,0,34,123,129
01/02/2017,12,17,29,0,58,0,0,0,0,0,0,0,22,0,22,0,0,2,0,2,14,0,14,94,96
01/03/2017,16,16,6,0,38,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,38,40
01/04/2017,14,16,4,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34
01/05/2017,16,15,24,0,55,1,0,3,0,4,0,2,4,8,14,0,0,0,1,1,0,0,0,69,74
01/06/2017,15,22,17,0,54,0,0,2,0,2,0,0,5,14,19,0,0,2,2,4,12,0,12,85,91
01/07/2017,12,11,20,0,43,0,0,2,0,2,0,1,2,1,4,0,2,0,0,2,14,0,14,61,65
01/08/2017,15,22,37,0,74,0,0,1,0,1,0,1,33,0,34,0,0,2,0,2,22,0,22,130,133
01/09/2017,14,19,17,0,50,0,0,1,0,1,0,0,12,0,12,0,0,2,0,2,10,0,10,72,75
01/10/2017,13,21,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34
01/11/2017,13,16,21,0,50,0,1,0,0,1,0,0,7,0,7,0,0,0,1,1,0,0,0,57,59
01/12/2017,16,17,3,0,36,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36,37
01/13/2017,15,21,23,0,59,0,0,1,0,1,0,0,29,10,39,0,1,5,1,7,2,0,2,100,108
01/14/2017,15,13,53,6,87,0,0,0,0,0,0,1,31,7,39,0,0,5,2,7,4,0,4,130,137
01/15/2017,13,13,28,0,54,0,0,1,0,1,0,0,39,0,39,0,2,5,0,7,18,0,18,111,119
01/16/2017,14,17,9,0,40,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,44,44
01/17/2017,13,21,5,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39
01/18/2017,14,24,11,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,49
01/19/2017,16,17,35,0,68,0,1,2,0,3,0,0,9,2,11,0,0,0,0,0,22,0,22,101,104
01/20/2017,16,15,2,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33
01/21/2017,15,17,44,0,76,0,0,1,0,1,0,0,5,0,5,0,0,0,0,0,0,0,0,81,82
