OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=FOE,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,2,3,0,5,0,0,0,0,0,0,0,7,0,7,0,0,3,0,3,0,0,0,12,15
01/02/2017,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
01/03/2017,0,1,7,16,24,0,0,0,0,0,0,0,2,6,8,0,1,2,0,3,0,46,46,78,81
01/04/2017,0,1,9,18,28,0,0,0,0,0,0,0,10,10,20,0,0,0,0,0,4,32,36,84,84
01/05/2017,0,0,13,3,16,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,20,20,46,46
01/06/2017,0,2,1,13,16,0,0,0,0,0,0,0,4,14,18,0,0,0,0,0,0,52,52,86,86
01/07/2017,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,11,11
01/08/2017,0,0,0,4,4,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,7,7
01/09/2017,0,0,7,27,34,0,0,0,0,0,0,0,1,4,5,0,0,0,0,0,4,36,40,79,79
01/10/2017,0,0,11,44,55,0,0,1,0,1,0,2,9,7,18,0,2,4,0,6,0,30,30,103,110
01/11/2017,0,0,10,17,27,0,0,3,0,3,0,0,1,22,23,0,0,1,0,1,0,26,26,76,80
01/12/2017,0,0,6,26,32,0,0,0,0,0,0,0,4,24,28,0,2,4,0,6,0,34,34,94,100
01/13/2017,0,0,6,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7,7
01/14/2017,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
01/15/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/16/2017,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
01/17/2017,1,1,8,35,45,0,0,0,0,0,0,0,4,9,13,0,0,7,0,7,0,6,6,64,71
01/20/2017,0,2,6,5,13,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,24,24,43,43
01/21/2017,4,0,3,14,21,0,0,1,0,1,0,0,4,0,4,0,0,1,0,1,0,10,10,35,37
01/22/2017,2,0,3,15,20,0,0,1,0,1,0,0,2,0,2,0,0,2,0,2,4,24,28,50,53
01/23/2017,1,6,5,11,23,0,0,2,0,2,0,0,3,1,4,0,0,5,0,5,10,2,12,39,46
