OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=FOK,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/02/2017,0,1,6,0,7,0,0,0,0,0,0,0,10,8,18,0,0,0,10,10,0,36,36,61,71
01/03/2017,0,5,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
01/04/2017,0,0,7,0,7,0,0,0,0,0,0,0,24,14,38,0,0,18,4,22,16,48,64,109,131
01/05/2017,0,1,8,0,9,0,0,0,0,0,0,0,36,32,68,0,0,52,0,52,40,74,114,191,243
01/06/2017,0,0,3,3,6,0,0,0,0,0,0,0,21,2,23,0,0,24,0,24,8,6,14,43,67
01/07/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/2017,0,2,2,0,4,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,6,6
01/09/2017,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,0,12,4,16,0,0,0,14,30
01/10/2017,0,4,3,0,7,0,0,0,0,0,0,0,22,10,32,0,0,20,2,22,14,68,82,121,143
01/11/2017,0,5,21,11,37,0,0,0,0,0,0,0,43,8,51,0,0,18,16,34,20,8,28,116,150
01/12/2017,0,2,11,0,13,0,0,0,0,0,0,0,24,10,34,0,0,28,4,32,2,16,18,65,97
01/13/2017,0,2,9,5,16,0,0,0,0,0,0,0,36,3,39,0,0,40,0,40,14,18,32,87,127
01/14/2017,0,0,13,0,13,0,0,0,0,0,0,0,54,0,54,0,0,42,0,42,76,0,76,143,185
01/15/2017,0,2,24,0,26,0,0,0,0,0,0,0,57,2,59,0,0,56,0,56,80,0,80,165,221
01/16/2017,0,1,17,0,18,0,0,0,0,0,0,0,90,2,92,0,0,58,0,58,90,0,90,200,258
01/17/2017,0,2,12,0,14,0,0,0,0,0,0,0,25,3,28,0,0,18,0,18,18,32,50,92,110
01/18/2017,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
01/19/2017,0,2,7,1,10,0,0,0,0,0,0,0,44,13,57,0,0,34,6,40,22,48,70,137,177
01/20/2017,0,2,8,1,11,0,0,0,0,0,0,0,33,9,42,0,0,42,0,42,42,24,66,119,161
01/21/2017,0,4,20,0,24,0,0,4,0,4,0,0,8,0,8,0,0,0,0,0,0,0,0,32,36
01/22/2017,0,0,14,0,14,0,0,0,0,0,0,0,19,0,19,0,0,30,0,30,10,0,10,43,73
