OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=FWS,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,0,4,0,4,0,0,0,0,0,0,0,28,0,28,0,2,3,0,5,20,0,20,52,57
01/02/2017,0,0,4,0,4,0,0,0,0,0,0,0,57,0,57,0,1,9,0,10,64,0,64,125,135
01/03/2017,0,0,12,0,12,0,0,0,0,0,0,0,33,0,33,0,0,5,0,5,58,0,58,103,108
01/04/2017,0,1,5,0,6,0,0,0,0,0,0,0,63,4,67,0,0,16,3,19,62,0,62,135,154
01/05/2017,0,0,5,2,7,0,0,0,0,0,0,0,13,0,13,0,0,4,0,4,18,0,18,38,42
01/07/2017,0,2,4,0,6,0,0,0,0,0,0,0,91,0,91,0,1,7,0,8,184,0,184,281,289
01/08/2017,0,0,4,0,4,0,0,0,0,0,0,0,42,0,42,0,0,4,0,4,78,0,78,124,128
01/09/2017,0,1,6,0,7,0,0,0,0,0,0,1,17,2,20,0,0,6,0,6,14,0,14,41,47
01/10/2017,0,2,17,0,19,0,0,0,0,0,0,0,75,4,79,0,1,12,2,15,106,0,106,204,219
01/11/2017,0,0,2,0,2,0,0,0,0,0,0,0,32,6,38,0,0,4,3,7,40,6,46,86,93
01/12/2017,0,1,21,0,22,0,0,0,0,0,0,0,50,0,50,0,1,8,1,10,64,0,64,136,146
01/13/2017,0,1,13,0,14,0,0,0,0,0,0,0,2,0,2,0,0,2,0,2,0,0,0,16,18
01/14/2017,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
01/15/2017,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
01/16/2017,0,0,8,0,8,0,0,0,0,0,0,0,71,0,71,0,0,9,0,9,112,0,112,191,200
01/17/2017,0,0,3,0,3,0,0,0,0,0,0,0,54,2,56,0,0,2,1,3,146,2,148,207,210
01/18/2017,0,0,13,0,13,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14
01/19/2017,0,1,12,0,13,0,0,0,0,0,0,0,66,4,70,0,2,6,7,15,218,0,218,301,316
01/20/2017,0,1,2,0,3,0,0,0,0,0,0,1,90,2,93,0,1,12,0,13,220,0,220,316,329
01/21/2017,0,1,4,0,5,0,0,0,0,0,0,0,90,0,90,0,2,0,0,2,218,0,218,313,315
01/22/2017,0,0,3,0,3,0,0,0,0,0,0,0,6,0,6,0,1,5,0,6,12,0,12,21,27
