OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=GCK,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,10,7,0,17,0,0,0,0,0,0,7,9,0,16,0,4,0,0,4,0,0,0,33,37
01/02/2017,0,5,5,0,10,0,0,0,0,0,0,1,8,0,9,0,1,0,0,1,0,0,0,19,20
01/03/2017,0,14,17,0,31,0,0,0,0,0,0,2,6,0,8,0,1,1,0,2,16,0,16,55,57
01/04/2017,0,9,11,0,20,0,0,0,0,0,0,5,2,8,15,0,1,0,0,1,4,0,4,39,40
01/05/2017,0,13,7,0,20,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,22,22
01/06/2017,0,6,4,1,11,0,0,0,0,0,0,3,3,1,7,0,1,1,0,2,6,0,6,24,26
01/07/2017,0,5,7,0,12,0,0,0,0,0,0,0,5,2,7,0,0,0,0,0,4,0,4,23,23
01/08/2017,0,2,4,4,10,0,0,0,0,0,0,2,11,0,13,0,1,1,0,2,16,4,20,43,45
01/09/2017,0,8,7,0,15,0,0,0,0,0,0,1,3,0,4,0,0,0,0,0,0,0,0,19,19
01/10/2017,0,14,4,0,18,0,0,0,0,0,0,2,15,0,17,0,0,0,0,0,18,0,18,53,53
01/11/2017,0,9,9,0,18,0,0,0,0,0,0,2,11,0,13,0,0,0,0,0,0,0,0,31,31
01/12/2017,0,12,17,0,29,0,0,0,0,0,0,0,16,3,19,0,0,0,0,0,16,16,32,80,80
01/14/2017,0,6,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
01/15/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/16/2017,0,5,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
01/17/2017,0,11,16,0,27,0,0,0,0,0,0,5,10,0,15,0,0,0,0,0,4,0,4,46,46
01/18/2017,0,18,12,0,30,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,33,33
01/19/2017,0,17,20,0,37,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,2,0,2,41,41
01/20/2017,0,10,9,0,19,0,0,0,0,0,0,0,2,0,2,0,0,1,0,1,2,0,2,23,24
01/21/2017,0,8,6,0,14,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,10,0,10,36,36
01/22/2017,0,6,6,0,12,0,0,0,0,0,0,1,5,0,6,0,0,0,0,0,30,0,30,48,48
