OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=GEU,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,6,2,0,8,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,6,0,6,17,17
01/02/2017,0,2,4,0,6,0,0,0,0,0,0,0,50,0,50,0,0,4,0,4,121,0,121,177,181
01/03/2017,0,2,1,0,3,0,0,0,0,0,0,0,79,0,79,0,0,2,0,2,77,0,77,159,161
01/04/2017,0,0,1,0,1,0,0,0,0,0,0,0,75,0,75,0,3,11,0,14,280,0,280,356,370
01/05/2017,0,0,0,0,0,0,0,0,0,0,0,0,67,0,67,0,0,6,0,6,99,0,99,166,172
01/06/2017,0,0,3,0,3,0,0,1,0,1,0,2,70,0,72,0,0,9,0,9,103,0,103,178,188
01/07/2017,0,0,0,0,0,0,0,0,0,0,0,2,98,0,100,0,0,10,0,10,115,0,115,215,225
01/08/2017,0,0,4,0,4,0,0,0,0,0,0,2,71,0,73,0,0,4,2,6,132,0,132,209,215
01/09/2017,0,2,4,0,6,0,3,0,0,3,0,0,52,0,52,0,2,10,0,12,175,0,175,233,248
01/10/2017,0,0,3,0,3,0,0,0,0,0,0,0,77,0,77,0,0,13,0,13,220,0,220,300,313
01/11/2017,0,0,2,0,2,0,0,0,0,0,0,2,74,0,76,0,0,11,0,11,189,0,189,267,278
01/12/2017,0,0,6,0,6,0,0,0,0,0,0,0,77,2,79,0,0,9,0,9,275,4,279,364,373
01/13/2017,0,5,2,0,7,0,0,0,0,0,0,2,54,0,56,0,2,5,0,7,159,0,159,222,229
01/14/2017,0,0,3,0,3,0,0,0,0,0,0,0,52,0,52,0,1,4,0,5,136,0,136,191,196
01/15/2017,0,2,12,0,14,0,0,0,0,0,0,0,35,0,35,0,0,2,0,2,157,0,157,206,208
01/16/2017,0,0,7,0,7,2,0,0,0,2,0,0,49,0,49,0,1,3,0,4,94,0,94,150,156
01/17/2017,0,0,1,0,1,0,0,0,0,0,0,0,95,0,95,0,0,3,0,3,237,0,237,333,336
01/18/2017,0,1,2,0,3,0,0,1,0,1,0,0,95,0,95,0,0,12,0,12,119,0,119,217,230
01/19/2017,0,0,3,0,3,0,0,0,0,0,0,0,27,0,27,0,0,0,0,0,134,0,134,164,164
01/20/2017,0,3,4,0,7,0,0,0,0,0,0,0,12,0,12,0,2,1,0,3,90,6,96,115,118
01/21/2017,0,1,4,0,5,0,0,0,0,0,0,0,27,0,27,0,0,0,0,0,24,0,24,56,56
