OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=GJT,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,11,17,8,0,36,0,0,0,0,0,0,0,10,0,10,0,0,3,0,3,14,0,14,60,63
01/02/2017,9,36,20,1,66,0,0,0,0,0,0,1,19,1,21,0,2,0,0,2,42,0,42,129,131
01/03/2017,10,52,26,4,92,0,0,0,0,0,0,2,10,0,12,0,0,0,0,0,0,0,0,104,104
01/04/2017,15,46,29,0,90,0,0,0,0,0,0,1,9,0,10,0,0,0,0,0,12,0,12,112,112
01/05/2017,15,45,15,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,75
01/06/2017,15,35,17,2,69,0,0,0,0,0,0,3,44,1,48,0,2,2,0,4,32,6,38,155,159
01/07/2017,13,15,9,4,41,0,0,0,0,0,0,1,25,3,29,0,0,1,0,1,16,0,16,86,87
01/08/2017,17,41,11,2,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,71
01/09/2017,7,18,5,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30
01/10/2017,9,33,17,0,59,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,6,0,6,71,71
01/11/2017,24,20,24,1,69,0,0,0,0,0,0,0,1,0,1,0,1,1,0,2,0,0,0,70,72
01/12/2017,17,29,18,0,64,0,0,0,0,0,0,0,13,0,13,0,0,1,0,1,44,0,44,121,122
01/13/2017,8,34,16,0,58,0,0,0,0,0,0,0,11,0,11,0,2,0,0,2,28,0,28,97,99
01/14/2017,8,15,5,0,28,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,48,0,48,91,91
01/15/2017,17,21,9,0,47,0,0,0,0,0,0,1,18,0,19,0,0,0,0,0,24,0,24,90,90
01/16/2017,9,26,17,0,52,0,0,0,0,0,0,0,41,0,41,0,0,2,0,2,58,0,58,151,153
01/17/2017,8,28,18,20,74,0,0,0,0,0,0,1,47,0,48,0,0,5,0,5,40,12,52,174,179
01/18/2017,14,23,24,8,69,0,0,0,0,0,0,6,66,4,76,0,0,1,0,1,94,0,94,239,240
01/19/2017,17,27,14,4,62,0,0,0,0,0,0,0,18,0,18,0,0,2,0,2,24,0,24,104,106
01/20/2017,10,34,17,1,62,0,0,0,0,0,0,1,6,0,7,0,0,0,0,0,28,0,28,97,97
01/21/2017,17,14,15,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,49,49
