OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=GPI,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,14,15,14,0,43,0,0,0,0,0,0,2,2,0,4,0,0,0,0,0,0,0,0,47,47
01/02/2017,8,14,32,0,54,0,0,0,0,0,0,3,12,0,15,0,0,0,0,0,8,0,8,77,77
01/03/2017,6,20,11,0,37,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,41,41
01/04/2017,8,16,6,0,30,0,0,0,0,0,0,4,14,0,18,0,2,0,0,2,10,0,10,58,60
01/05/2017,9,21,11,0,41,0,0,0,0,0,0,0,6,0,6,0,4,0,0,4,8,0,8,55,59
01/06/2017,9,14,10,0,33,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,10,0,10,49,49
01/07/2017,9,10,5,0,24,0,0,0,0,0,0,0,13,0,13,0,0,4,0,4,0,0,0,37,41
01/08/2017,10,10,14,0,34,0,0,0,0,0,0,0,10,0,10,0,4,0,0,4,26,0,26,70,74
01/09/2017,5,15,1,2,23,0,0,0,0,0,0,2,1,4,7,0,0,0,0,0,0,0,0,30,30
01/10/2017,3,14,4,0,21,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,24,24
01/11/2017,7,20,3,0,30,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,33,33
01/12/2017,8,17,16,2,43,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,45,45
01/13/2017,8,15,6,0,29,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,6,0,6,37,37
01/14/2017,8,7,6,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21
01/15/2017,9,5,10,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24
01/16/2017,6,16,10,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32
01/17/2017,6,15,15,0,36,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,40,40
01/18/2017,7,11,7,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25
01/19/2017,6,12,9,2,29,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,2,33,33
01/20/2017,10,11,8,0,29,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,14,0,14,63,63
01/21/2017,8,8,4,0,20,0,0,0,0,0,0,1,9,0,10,0,2,0,0,2,12,0,12,42,44
