OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=GPT,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,7,15,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25
01/02/2017,12,14,3,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31
01/03/2017,12,14,19,12,57,0,0,0,0,0,0,0,4,0,4,0,0,1,0,1,16,0,16,77,78
01/04/2017,12,15,9,39,75,0,0,0,0,0,0,0,15,6,21,0,0,3,2,5,0,0,0,96,101
01/05/2017,12,13,13,84,122,0,0,0,1,1,0,1,11,6,18,0,0,3,4,7,10,42,52,192,200
01/06/2017,10,13,3,10,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36
01/07/2017,6,9,5,69,89,0,0,0,0,0,0,2,10,8,20,0,1,2,0,3,8,6,14,123,126
01/08/2017,10,14,10,27,61,0,0,0,0,0,0,1,17,3,21,0,0,1,2,3,0,0,0,82,85
01/09/2017,15,13,12,84,124,0,0,0,0,0,0,0,15,10,25,0,0,5,3,8,24,24,48,197,205
01/10/2017,15,11,7,67,100,0,0,0,0,0,0,0,7,5,12,0,0,2,0,2,10,24,34,146,148
01/11/2017,16,11,15,59,101,0,0,0,0,0,0,2,15,5,22,0,0,1,0,1,10,16,26,149,150
01/12/2017,16,12,16,68,112,0,0,0,1,1,0,0,9,4,13,0,1,2,0,3,14,0,14,139,143
01/13/2017,16,13,17,41,87,0,0,0,1,1,0,0,13,2,15,0,0,1,4,5,0,58,58,160,166
01/14/2017,12,13,11,0,36,0,0,0,0,0,0,0,20,0,20,0,0,2,0,2,62,0,62,118,120
01/15/2017,12,9,21,11,53,0,1,0,0,1,0,1,13,2,16,0,0,1,1,2,8,6,14,83,86
01/16/2017,16,10,16,11,53,0,0,0,0,0,0,0,18,0,18,0,0,2,0,2,12,6,18,89,91
01/17/2017,16,16,14,38,84,0,0,0,0,0,0,0,3,1,4,0,0,0,0,0,8,10,18,106,106
01/18/2017,16,14,11,14,55,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,56,57
01/19/2017,16,13,4,1,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,34,35
01/20/2017,16,10,21,49,96,0,0,0,0,0,0,0,6,2,8,0,0,0,1,1,36,0,36,140,141
01/21/2017,14,12,10,1,37,0,0,0,1,1,0,0,4,0,4,0,0,0,0,0,0,0,0,41,42
