OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=GSP,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,44,31,6,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,81
01/02/2017,37,48,9,0,94,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,94,95
01/03/2017,46,43,5,10,104,0,1,1,0,2,0,0,3,0,3,0,0,2,0,2,0,0,0,107,111
01/04/2017,47,44,20,6,117,0,0,0,0,0,0,0,7,4,11,0,0,3,1,4,0,2,2,130,134
01/05/2017,51,44,12,16,123,0,1,0,0,1,0,0,6,4,10,0,0,6,0,6,0,0,0,133,140
01/06/2017,41,34,8,18,101,0,0,0,0,0,0,7,6,6,19,0,0,2,2,4,0,26,26,146,150
01/07/2017,28,14,6,1,49,0,0,0,0,0,0,0,0,1,1,0,0,2,1,3,0,0,0,50,53
01/08/2017,43,29,17,2,91,0,0,0,0,0,0,4,7,0,11,0,2,1,0,3,0,0,0,102,105
01/09/2017,57,31,12,17,117,0,0,0,0,0,0,2,2,15,19,0,0,0,0,0,0,0,0,136,136
01/10/2017,74,30,18,2,124,0,0,1,0,1,0,0,19,1,20,0,0,3,0,3,16,0,16,160,164
01/11/2017,54,29,9,0,92,0,0,1,0,1,0,0,4,0,4,0,0,1,0,1,0,0,0,96,98
01/12/2017,57,28,24,11,120,0,0,1,1,2,0,0,8,3,11,0,0,1,2,3,4,0,4,135,140
01/13/2017,55,33,10,0,98,0,0,0,0,0,0,0,10,2,12,0,0,4,2,6,8,0,8,118,124
01/14/2017,36,18,0,0,54,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,54,55
01/15/2017,38,24,4,0,66,0,0,0,0,0,0,3,12,0,15,0,0,3,0,3,0,0,0,81,84
01/16/2017,57,31,13,0,101,1,2,1,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,102,106
01/17/2017,54,33,11,0,98,0,0,1,0,1,0,0,1,0,1,0,0,2,0,2,0,0,0,99,102
01/18/2017,53,32,22,21,128,0,0,3,1,4,0,0,2,1,3,0,0,5,0,5,0,0,0,131,140
01/19/2017,60,30,14,18,122,0,0,1,0,1,0,2,2,0,4,0,1,1,0,2,0,0,0,126,129
01/20/2017,61,33,13,5,112,0,0,3,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,112,116
01/21/2017,36,15,7,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,58
