OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=GTR,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,8,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
01/02/2017,0,6,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
01/03/2017,0,7,1,66,74,0,0,0,0,0,0,3,30,34,67,0,0,0,0,0,36,210,246,387,387
01/04/2017,0,5,5,39,49,0,0,0,11,11,0,5,7,48,60,0,2,1,2,5,4,62,66,175,191
01/05/2017,0,5,10,37,52,0,0,1,10,11,0,3,17,32,52,0,0,2,0,2,6,10,16,120,133
01/06/2017,0,2,0,49,51,0,0,0,13,13,0,0,3,23,26,0,0,0,0,0,0,88,88,165,178
01/07/2017,0,6,2,62,70,0,0,0,0,0,0,3,30,21,54,0,0,0,8,8,32,86,118,242,250
01/08/2017,0,7,1,27,35,0,0,0,0,0,0,3,2,3,8,0,0,0,0,0,0,0,0,43,43
01/09/2017,0,8,2,67,77,0,2,0,13,15,0,4,12,59,75,0,0,0,0,0,0,184,184,336,351
01/10/2017,0,8,1,66,75,4,0,0,11,15,0,0,9,55,64,0,0,0,0,0,0,152,152,291,306
01/11/2017,2,6,3,58,69,0,0,0,0,0,0,2,0,25,27,0,0,0,0,0,0,34,34,130,130
01/12/2017,0,8,11,57,76,0,0,0,0,0,0,2,11,27,40,0,1,4,0,5,4,30,34,150,155
01/13/2017,1,6,5,39,51,0,0,0,3,3,0,0,10,18,28,0,0,0,0,0,8,12,20,99,102
01/14/2017,1,3,3,21,28,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,34,34
01/15/2017,0,4,0,7,11,0,0,0,0,0,0,4,0,1,5,0,0,0,0,0,0,0,0,16,16
01/16/2017,1,6,6,3,16,0,0,0,0,0,0,4,4,6,14,0,0,0,0,0,20,72,92,122,122
01/17/2017,0,7,1,77,85,0,0,0,2,2,0,0,14,59,73,0,0,0,8,8,42,128,170,328,338
01/18/2017,0,8,13,58,79,0,0,0,6,6,0,0,4,15,19,0,0,0,0,0,0,0,0,98,104
01/19/2017,0,6,3,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
01/20/2017,0,7,3,57,67,0,0,1,0,1,0,0,6,6,12,0,0,0,0,0,2,18,20,99,100
01/21/2017,0,3,2,30,35,0,0,0,0,0,0,5,14,8,27,0,0,0,0,0,62,74,136,198,198
