OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=GTU,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,2,7,0,9,0,0,0,0,0,0,0,80,0,80,0,0,2,0,2,142,0,142,231,233
01/02/2017,0,3,21,0,24,0,0,0,0,0,0,1,104,0,105,0,0,2,0,2,130,0,130,259,261
01/03/2017,0,0,28,2,30,0,0,0,0,0,0,2,96,0,98,0,0,5,0,5,170,2,172,300,305
01/04/2017,0,1,23,0,24,0,0,0,0,0,0,0,106,0,106,0,0,5,0,5,178,2,180,310,315
01/05/2017,0,1,15,4,20,0,1,2,0,3,0,0,2,2,4,0,0,89,0,89,192,0,192,216,308
01/06/2017,0,1,14,0,15,0,0,0,0,0,0,0,34,0,34,0,6,2,2,10,34,0,34,83,93
01/07/2017,0,1,13,0,14,0,0,0,0,0,0,1,114,0,115,0,0,5,0,5,98,0,98,227,232
01/08/2017,0,2,18,0,20,0,0,0,0,0,0,1,117,0,118,0,0,2,0,2,148,0,148,286,288
01/09/2017,0,0,21,0,21,0,0,0,0,0,0,2,58,0,60,0,0,0,2,2,54,0,54,135,137
01/10/2017,0,1,18,0,19,0,0,0,0,0,0,3,129,0,132,0,0,4,0,4,154,22,176,327,331
01/11/2017,0,1,18,0,19,0,1,2,0,3,0,2,48,0,50,0,0,1,2,3,28,0,28,97,103
01/12/2017,0,2,21,0,23,0,0,0,0,0,0,0,81,0,81,0,2,7,1,10,230,0,230,334,344
01/13/2017,0,3,22,0,25,0,0,0,0,0,0,0,40,0,40,0,0,1,0,1,126,0,126,191,192
01/14/2017,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
01/15/2017,0,7,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15
01/16/2017,0,1,31,0,32,0,0,0,0,0,0,0,96,0,96,0,0,0,0,0,158,0,158,286,286
01/17/2017,0,0,26,0,26,0,0,1,0,1,0,0,36,0,36,0,0,2,0,2,132,0,132,194,197
01/18/2017,0,3,27,0,30,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,31,31
01/19/2017,0,1,29,0,30,0,0,2,0,2,0,0,133,4,137,0,1,0,0,1,142,4,146,313,316
01/20/2017,0,2,24,0,26,0,0,0,0,0,0,1,151,0,152,0,0,2,0,2,200,0,200,378,380
01/21/2017,0,4,33,0,37,0,0,0,0,0,0,0,135,0,135,0,0,5,0,5,260,0,260,432,437
