OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=GYR,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,0,0,0,0,0,0,0,0,5,5
01/02/2017,0,0,3,0,3,0,0,0,0,0,0,20,35,0,55,0,3,9,0,12,104,0,104,162,174
01/03/2017,0,1,13,0,14,0,0,1,0,1,0,12,118,0,130,0,5,9,0,14,178,0,178,322,337
01/04/2017,0,0,18,0,18,0,0,0,0,0,0,17,114,0,131,0,5,18,0,23,357,0,357,506,529
01/05/2017,0,1,10,0,11,0,0,0,0,0,0,11,131,0,142,0,1,16,0,17,282,0,282,435,452
01/06/2017,0,0,18,0,18,0,0,0,0,0,0,7,157,0,164,0,3,6,0,9,222,0,222,404,413
01/07/2017,0,0,6,0,6,0,0,0,0,0,0,14,95,0,109,0,0,20,0,20,74,0,74,189,209
01/08/2017,0,1,1,0,2,0,0,0,0,0,0,16,37,0,53,0,3,16,0,19,34,0,34,89,108
01/09/2017,0,0,10,0,10,0,0,0,0,0,0,14,112,4,130,0,1,6,1,8,238,2,240,380,388
01/10/2017,1,1,8,0,10,0,0,3,0,3,0,12,156,0,168,0,1,18,0,19,224,0,224,402,424
01/11/2017,1,0,9,0,10,0,0,0,0,0,0,15,134,0,149,0,3,8,0,11,172,28,200,359,370
01/12/2017,1,0,13,0,14,0,0,3,0,3,0,12,133,7,152,0,3,10,1,14,342,10,352,518,535
01/13/2017,1,0,6,0,7,0,0,4,0,4,0,15,114,2,131,0,3,2,0,5,252,2,254,392,401
01/14/2017,2,1,2,0,5,0,0,0,0,0,0,10,70,0,80,0,3,4,0,7,186,0,186,271,278
01/15/2017,0,0,3,0,3,0,0,0,0,0,0,13,14,0,27,0,2,5,0,7,20,0,20,50,57
01/16/2017,1,0,7,0,8,0,0,0,0,0,0,13,72,0,85,0,2,12,0,14,82,0,82,175,189
01/17/2017,2,0,8,0,10,0,0,0,0,0,0,7,126,7,140,0,3,11,0,14,202,9,211,361,375
01/18/2017,0,3,12,0,15,0,0,0,0,0,0,9,125,5,139,0,3,25,0,28,246,6,252,406,434
01/19/2017,0,0,6,0,6,0,0,0,0,0,0,2,48,4,54,0,0,10,1,11,186,0,186,246,257
01/20/2017,0,3,4,0,7,0,3,0,0,3,0,9,14,13,36,0,1,3,1,5,66,12,78,121,129
01/21/2017,0,0,5,0,5,0,0,0,0,0,0,17,15,0,32,0,2,4,0,6,0,0,0,37,43
