OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=GYY,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,0,11,0,11,0,0,0,0,0,0,0,9,0,9,0,0,12,0,12,0,0,0,20,32
01/02/2017,2,3,19,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24
01/03/2017,0,3,13,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16
01/04/2017,0,0,20,3,23,0,0,0,0,0,0,0,9,4,13,0,0,2,0,2,4,6,10,46,48
01/05/2017,0,2,17,1,20,0,0,0,0,0,0,1,12,13,26,0,0,9,0,9,12,38,50,96,105
01/06/2017,2,0,16,0,18,0,0,0,0,0,0,0,7,2,9,0,0,11,0,11,8,0,8,35,46
01/07/2017,1,0,15,0,16,0,0,0,0,0,0,0,16,5,21,0,3,5,0,8,22,0,22,59,67
01/08/2017,0,1,15,0,16,0,0,0,0,0,0,11,4,0,15,0,0,5,0,5,8,0,8,39,44
01/09/2017,1,0,16,0,17,0,0,0,0,0,0,0,11,0,11,0,0,16,0,16,0,0,0,28,44
01/10/2017,1,0,22,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23
01/11/2017,1,2,15,0,18,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,18,20
01/12/2017,0,5,15,0,20,0,0,0,0,0,0,0,0,4,4,0,2,3,0,5,0,30,30,54,59
01/13/2017,2,4,17,0,23,0,0,0,0,0,0,0,11,0,11,0,0,10,0,10,0,0,0,34,44
01/14/2017,0,0,6,0,6,0,0,0,0,0,0,0,29,0,29,0,0,2,2,4,0,0,0,35,39
01/15/2017,0,0,13,0,13,0,0,0,0,0,0,2,25,0,27,0,0,4,0,4,58,0,58,98,102
01/16/2017,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
01/17/2017,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16
01/18/2017,1,4,20,4,29,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,48,48,77,82
01/19/2017,5,4,32,0,41,0,0,0,0,0,0,0,7,0,7,0,0,3,0,3,38,0,38,86,89
01/20/2017,3,2,12,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17
01/21/2017,0,3,11,0,14,0,0,0,0,0,0,0,25,0,25,0,0,10,0,10,16,0,16,55,65
